#Organism Name,Organism Groups,Size(Mb),GC%
"(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.","Eukaryota;Animals;Fishes",0.016581,43.3207
"Aacanthocnema dobsoni","Eukaryota;Animals;Insects",0.015179,21.9382
"Abacion magnum","Eukaryota;Animals;Other Animals",0.01516,33.4037
"Abalistes stellaris","Eukaryota;Animals;Fishes",0.016502,44.4189
"Abax parallelepipedus","Eukaryota;Animals;Insects",0.017701,20.7446
"Abbottina binhi","Eukaryota;Animals;Fishes",0.016609,44.1387
"Abbottina obtusirostris","Eukaryota;Animals;Fishes",0.016599,44.0629
"Abbottina rivularis","Eukaryota;Animals;Fishes",0.016597,44.2911
"Abelia chinensis","Eukaryota;Plants;Land Plants",0.157225,38.3762
"Abelia sanguinea","Eukaryota;Plants;Land Plants",0.156842,38.505
"Abelia x grandiflora","Eukaryota;Plants;Land Plants",0.157107,38.4057
"Abeliophyllum distichum","Eukaryota;Plants;Land Plants",0.155982,37.8185
"Abelmoschus esculentus","Eukaryota;Plants;Land Plants",0.163121,36.7365
"Abelmoschus manihot","Eukaryota;Plants;Land Plants",0.163428,36.7048
"Abelmoschus moschatus","Eukaryota;Plants;Land Plants",0.16343,36.7081
"Abelmoschus sagittifolius","Eukaryota;Plants;Land Plants",0.163453,36.6876
"Abidama producta","Eukaryota;Animals;Insects",0.015277,22.6484
"Abies alba","Eukaryota;Plants;Land Plants",0.121243,38.267
"Abies balsamea","Eukaryota;Plants;Land Plants",0.121574,38.2483
"Abies beshanzuensis","Eukaryota;Plants;Land Plants",0.121399,38.2565
"Abies chensiensis","Eukaryota;Plants;Land Plants",0.121329,38.258
"Abies concolor","Eukaryota;Plants;Land Plants",0.120427,38.3369
"Abies fanjingshanensis","Eukaryota;Plants;Land Plants",0.120057,38.2976
"Abies fargesii","Eukaryota;Plants;Land Plants",0.121799,38.2704
"Abies georgei var. smithii","Eukaryota;Plants;Land Plants",0.121191,38.2603
