Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G004368255	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1875659	0.04341565900180383	0.022110669145168745	1548	GCA_004368255.1_genomic.fna.gz
G001299515	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1814776	0.0004234705758041845	0.00020866416407216333	15	GCA_001299515.1_genomic.fna.gz
G001698595	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1856511	0.005658137388217221	0.0028521516842601752	200	GCA_001698595.1_genomic.fna.gz
G001698675	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1862853	0.0027801725346876796	0.001406215683802887	98	GCA_001698675.1_genomic.fna.gz
G000155495	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1951667	0.10286843127804675	0.05451166396955162	3816	GCA_000155495.1_genomic.fna.gz
G001298055	s__Helicobacter_D pullorum	s__Helicobacter pullorum	2131353	0.0008436358168973855	0.0004882159879289576	34	GCA_001298055.1_genomic.fna.gz
G001698625	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1691767	0.02567433077072486	0.011793461253572028	826	GCA_001698625.1_genomic.fna.gz
G001698605	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1889077	0.008372526842951429	0.00429445258663971	301	GCA_001698605.1_genomic.fna.gz
G001698755	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1731995	0.00016143535480595298	7.591837256624762e-05	5	GCA_001698755.1_genomic.fna.gz
G001698765	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1783256	0.029852493848167058	0.014454261738571225	1012	GCA_001698765.1_genomic.fna.gz
G900450465	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2510813	0.0004187748094943047	0.00028549369504127014	20	GCA_900450465.1_genomic.fna.gz
G900453275	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2661365	0.005728005175091323	0.004139133614652968	290	GCA_900453275.1_genomic.fna.gz
G000160615	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2435166	0.0015762862418240045	0.001042234055050626	73	GCA_000160615.1_genomic.fna.gz
G900453215	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2529093	0.021874806357921876	0.015021407229856858	1051	GCA_900453215.1_genomic.fna.gz
G005844135	s__Dorea hylemonae	s__[Clostridium] hylemonae	3794810	0.0030699684194843866	0.00316319195577944	221	GCA_005844135.1_genomic.fna.gz
G003388075	s__Staphylococcus felis	s__Staphylococcus felis	2343559	0.0008825246312894656	0.0005615705574955864	39	GCA_003388075.1_genomic.fna.gz
G003388125	s__Staphylococcus felis	s__Staphylococcus felis	2394735	0.0045279322137488	0.0029441435498048056	206	GCA_003388125.1_genomic.fna.gz
G003391645	s__Staphylococcus felis	s__Staphylococcus felis	2409877	0.01050059538178506	0.0068708489997897654	481	GCA_003391645.1_genomic.fna.gz
G003387875	s__Staphylococcus felis	s__Staphylococcus felis	2467318	0.00016797744429162403	0.00011253243068709131	8	GCA_003387875.1_genomic.fna.gz
G003388035	s__Staphylococcus felis	s__Staphylococcus felis	2394985	0.014798703298754611	0.009623389501877784	674	GCA_003388035.1_genomic.fna.gz
G003387895	s__Staphylococcus felis	s__Staphylococcus felis	2435140	0.003246405672489497	0.0021464873150510767	150	GCA_003387895.1_genomic.fna.gz
G003391635	s__Staphylococcus felis	s__Staphylococcus felis	2381066	0.01135397064340923	0.007340418208617648	514	GCA_003391635.1_genomic.fna.gz
G003385435	s__Staphylococcus felis	s__Staphylococcus felis	2395775	0.008176255523944824	0.005318658272620006	372	GCA_003385435.1_genomic.fna.gz
G003387915	s__Staphylococcus felis	s__Staphylococcus felis	2454027	0.0036796723059154667	0.002451828472477793	172	GCA_003387915.1_genomic.fna.gz
G003387955	s__Staphylococcus felis	s__Staphylococcus felis	2404746	0.00034243487081048955	0.00022358815772229214	16	GCA_003387955.1_genomic.fna.gz
G002115685	s__Leuconostoc citreum	s__Leuconostoc citreum	1829881	0.001354376730206346	0.0006729207720180948	47	GCA_002115685.1_genomic.fna.gz
G006381855	s__Leuconostoc citreum	s__Leuconostoc citreum	1835522	0.0030767983113784503	0.0015334168314864297	107	GCA_006381855.1_genomic.fna.gz
G002753855	s__Prevotella intermedia	s__Prevotella intermedia	2905571	0.0012060371028951038	0.0009514670747630608	67	GCA_002753855.1_genomic.fna.gz
G000955645	s__Prevotella intermedia	s__Prevotella intermedia	2790340	0.03331492738997118	0.0252404793869314	1767	GCA_000955645.1_genomic.fna.gz
G003590565	s__Flavobacterium anhuiense	s__Flavobacterium anhuiense	5377387	0.09586446688985883	0.13996858031161147	9798	GCA_003590565.1_genomic.fna.gz
G002504365	s__Mesoplasma florum	s__Mesoplasma florum	807195	0.005902516335141761	0.001293651403368752	91	GCA_002504365.1_genomic.fna.gz
G002999435	s__Mesoplasma florum	s__Mesoplasma florum	738512	0.00013938822422523877	2.7950220928075515e-05	2	GCA_002999435.1_genomic.fna.gz
G002999355	s__Mesoplasma florum	s__Mesoplasma florum	792347	0.0012620916005603097	0.00027152379661896125	19	GCA_002999355.1_genomic.fna.gz
G004168545	s__Clostridium_G tetani	s__Clostridium tetani	2860667	0.04868330732295301	0.03781368341504738	2647	GCA_004168545.1_genomic.fna.gz
G004115495	s__Clostridium_G tetani	s__Clostridium tetani	2838573	0.007385534197181843	0.005692244998036749	398	GCA_004115495.1_genomic.fna.gz
G004115905	s__Clostridium_G tetani	s__Clostridium tetani	2895876	2.6853562110310096e-05	2.111462961791268e-05	1	GCA_004115905.1_genomic.fna.gz
G004119295	s__Clostridium_G tetani	s__Clostridium tetani	2860089	0.061941882340566454	0.048102267576762836	3367	GCA_004119295.1_genomic.fna.gz
G004119215	s__Clostridium_G tetani	s__Clostridium tetani	2762392	0.10098289451600281	0.07574164370982905	5302	GCA_004119215.1_genomic.fna.gz
G000007625	s__Clostridium_G tetani	s__Clostridium tetani	2873333	0.00043474001497345154	0.0003391698036174003	24	GCA_000007625.1_genomic.fna.gz
G002951495	s__Escherichia fergusonii	s__Escherichia fergusonii	5067154	0.006000619893310214	0.008255850579215882	578	GCA_002951495.1_genomic.fna.gz
G003382705	s__Escherichia fergusonii	s__Escherichia fergusonii	5069347	0.03535449803226652	0.04866293497026257	3406	GCA_003382705.1_genomic.fna.gz
G003944565	s__Escherichia fergusonii	s__Escherichia fergusonii	5179664	0.06284699493169661	0.08838686050485434	6187	GCA_003944565.2_genomic.fna.gz
G002965025	s__Escherichia fergusonii	s__Escherichia fergusonii	4290658	0.04446323239616241	0.05179961529021068	3626	GCA_002965025.1_genomic.fna.gz
G002951525	s__Escherichia fergusonii	s__Escherichia fergusonii	4834952	0.03055863567036364	0.040116933708424056	2808	GCA_002951525.1_genomic.fna.gz
G000191665	s__Escherichia fergusonii	s__Escherichia fergusonii	4866106	0.007697447073746625	0.01017020904452657	712	GCA_000191665.1_genomic.fna.gz
G005405725	s__Bifidobacterium moukalabense	s__Bifidobacterium moukalabense	2548130	0.19344980085376332	0.133841708311725	9369	GCA_005405725.1_genomic.fna.gz
