Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G001188875	s__Staphylococcus schleiferi	s__Staphylococcus schleiferi	2528396	0.0031214943962279947	0.0020327463262988163	142	GCA_001188875.1_genomic.fna.gz
G001188855	s__Staphylococcus schleiferi	s__Staphylococcus schleiferi	2435632	0.34414557220608444	0.21588844003679075	15112	GCA_001188855.1_genomic.fna.gz
G001548255	s__Staphylococcus schleiferi	s__Staphylococcus schleiferi	2528077	0.0008230389167260989	0.0005359030134402084	38	GCA_001548255.1_genomic.fna.gz
G000757385	s__Flavobacterium aquatile	s__Flavobacterium aquatile	3490856	0.01967170537150211	0.01768680860306418	1238	GCA_000757385.1_genomic.fna.gz
G002591805	s__Leuconostoc citreum	s__Leuconostoc citreum	1982921	0.009832382109991142	0.005021571961856214	352	GCA_002591805.1_genomic.fna.gz
G000239915	s__Leuconostoc citreum	s__Leuconostoc citreum	1969963	0.005466593897549799	0.002773642045512562	194	GCA_000239915.2_genomic.fna.gz
G000743455	s__Ralstonia pickettii	s__Ralstonia pickettii	4765599	0.13644598086256446	0.1674764606834832	11723	GCA_000743455.1_genomic.fna.gz
G002516395	s__Ralstonia pickettii	s__Ralstonia pickettii	5484397	0.0007051078881461415	0.000996001490819256	70	GCA_002516395.2_genomic.fna.gz
G001699795	s__Ralstonia pickettii	s__Ralstonia pickettii	5200293	0.0026801183226539496	0.003589693033683061	251	GCA_001699795.1_genomic.fna.gz
G001424105	s__Chryseobacterium sp001424105	s__Chryseobacterium sp. Leaf394	4318453	0.03201647159160081	0.03561042823229066	2493	GCA_001424105.1_genomic.fna.gz
G000969825	s__Parabacteroides gordonii	s__Parabacteroides gordonii	6793348	0.002357212170674542	0.004124374262017528	289	GCA_000969825.1_genomic.fna.gz
G002763955	s__Prevotella intermedia	s__Prevotella intermedia	2928459	0.044150616653804244	0.033300553526467505	2331	GCA_002763955.1_genomic.fna.gz
G002763975	s__Prevotella intermedia	s__Prevotella intermedia	2813841	0.04157483630262469	0.030130450970767397	2109	GCA_002763975.1_genomic.fna.gz
G002763715	s__Prevotella intermedia	s__Prevotella intermedia	2764740	0.03302845322332335	0.023518957211965102	1646	GCA_002763715.1_genomic.fna.gz
G002763745	s__Prevotella intermedia	s__Prevotella intermedia	2890050	0.030616362871449167	0.022789483564294867	1595	GCA_002763745.1_genomic.fna.gz
G000261025	s__Prevotella intermedia	s__Prevotella intermedia	2699437	0.009618746314785065	0.006687552396525715	468	GCA_000261025.1_genomic.fna.gz
G001434465	s__Lactobacillus_H oris	s__Lactobacillus oris	2031774	0.0023656419282235583	0.0012379409751698304	87	GCA_001434465.1_genomic.fna.gz
G000221505	s__Lactobacillus_H oris	s__Lactobacillus oris	2174937	0.003664603540744148	0.0020528121479945175	144	GCA_000221505.2_genomic.fna.gz
G000180015	s__Lactobacillus_H oris	s__Lactobacillus oris	2115990	0.010720277051243567	0.005842451970510314	409	GCA_000180015.1_genomic.fna.gz
G900105155	s__Pseudomonas_E prosekii	s__Pseudomonas prosekii	6092055	0.19436234144289724	0.304966031596283	21348	GCA_900105155.1_genomic.fna.gz
G003122305	s__Pseudomonas_E prosekii	s__Pseudomonas prosekii	6112380	0.002286848079474383	0.0036001715123146413	252	GCA_003122305.1_genomic.fna.gz
G003122265	s__Pseudomonas_E prosekii	s__Pseudomonas prosekii	5936222	0.3681188260861425	0.5628254058325096	39398	GCA_003122265.1_genomic.fna.gz
G002813295	s__Flavobacterium sp002813295	s__Flavobacterium sp. 5	4973516	9.34247372881134e-05	0.00011967431087702229	8	GCA_002813295.1_genomic.fna.gz
G000967115	s__Clostridium_G tetani	s__Clostridium tetani	2865850	0.7087371108189642	0.523135461078802	36619	GCA_000967115.1_genomic.fna.gz
G000762325	s__Clostridium_G tetani	s__Clostridium tetani	2890535	0.006067218662276581	0.004516930519812727	316	GCA_000762325.1_genomic.fna.gz
G003013635	s__Clostridium_G tetani	s__Clostridium tetani	2811348	0.003425622861150001	0.0024804454848478975	174	GCA_003013635.1_genomic.fna.gz
G000799015	s__Vibrio fluvialis	s__Vibrio fluvialis	4620763	0.09807961884373151	0.11672610505006253	8171	GCA_000799015.1_genomic.fna.gz
G002796765	s__Vibrio fluvialis	s__Vibrio fluvialis	4665414	0.20159815739312759	0.24224358064714496	16957	GCA_002796765.1_genomic.fna.gz
G002953375	s__Vibrio fluvialis	s__Vibrio fluvialis	4867548	0.023240880307991867	0.029136564829665885	2040	GCA_002953375.1_genomic.fna.gz
G001558415	s__Vibrio fluvialis	s__Vibrio fluvialis	4827733	0.023302288583196846	0.028974593403660355	2028	GCA_001558415.2_genomic.fna.gz
G001952955	s__Vibrio fluvialis	s__Vibrio fluvialis	4851664	0.11653689290846206	0.1456229021021075	10194	GCA_001952955.1_genomic.fna.gz
G001718355	s__Burkholderia ubonensis	s__Burkholderia ubonensis	7961598	0.004381077440110273	0.008983730304650411	629	GCA_001718355.1_genomic.fna.gz
G000959245	s__Burkholderia ubonensis	s__Burkholderia ubonensis	7189071	0.006267601278513205	0.011605120757877946	812	GCA_000959245.1_genomic.fna.gz
G001718855	s__Burkholderia ubonensis	s__Burkholderia ubonensis	8028759	0.17607873203057575	0.364108531120813	25488	GCA_001718855.1_genomic.fna.gz
G001718655	s__Burkholderia ubonensis	s__Burkholderia ubonensis	7235060	0.01704137920534653	0.031755752481151985	2223	GCA_001718655.1_genomic.fna.gz
G001718695	s__Burkholderia ubonensis	s__Burkholderia ubonensis	6684845	0.03284794331803523	0.05655552719210647	3959	GCA_001718695.1_genomic.fna.gz
G003043955	s__F0428 sp003043955	s__Lachnospiraceae bacterium oral taxon 096	2232415	0.5369193730472361	0.3087162832810426	21610	GCA_003043955.1_genomic.fna.gz
G000307435	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5338538	0.025663818297720804	0.03528735778142616	2470	GCA_000307435.1_genomic.fna.gz
G000307455	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5063281	0.012060997953575677	0.015728626688712936	1101	GCA_000307455.1_genomic.fna.gz
G002160095	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5132535	0.0219399212003431	0.029002972692755886	2030	GCA_002160095.1_genomic.fna.gz
G001936235	s__Lactobacillus jensenii	s__Lactobacillus jensenii	1672949	0.006588128105518919	0.0028387050326007463	199	GCA_001936235.1_genomic.fna.gz
G001485185	s__Clostridium_P ventriculi	s__Clostridium ventriculi	2479673	0.001320251832692546	0.0008431924766191213	59	GCA_001485185.1_genomic.fna.gz
G900456775	s__Clostridium_P ventriculi	s__Clostridium ventriculi	2549638	0.0738170393007299	0.04847420288029649	3393	GCA_900456775.1_genomic.fna.gz
G000220105	s__Chlamydia trachomatis	s__Chlamydia trachomatis	1038313	0.004036228731242698	0.0010793929862051577	76	GCA_000220105.1_genomic.fna.gz
G900474805	s__Streptococcus equi	s__Streptococcus equi	2172187	0.16649179171787232	0.09314629133045434	6520	GCA_900474805.1_genomic.fna.gz
G000026605	s__Streptococcus equi	s__Streptococcus equi	2149868	0.01285642255377837	0.007118811020503778	498	GCA_000026605.1_genomic.fna.gz
G900474875	s__Streptococcus equi	s__Streptococcus equi	2128266	0.02051021909028298	0.011242728867167939	787	GCA_900474875.1_genomic.fna.gz
G900475125	s__Streptococcus equi	s__Streptococcus equi	2071453	0.4718899806474127	0.2517626903660836	17623	GCA_900475125.1_genomic.fna.gz
G900475435	s__Streptococcus equi	s__Streptococcus equi	2079111	0.005238534287350852	0.0028051946219725633	196	GCA_900475435.1_genomic.fna.gz
G003048375	s__Campylobacter_A concisus_T	s__Campylobacter concisus	2095236	0.08680725202094997	0.04684513409664691	3279	GCA_003048375.1_genomic.fna.gz
G003048875	s__Campylobacter_A concisus_T	s__Campylobacter concisus	2023536	0.003066004450740643	0.0015979355057670667	112	GCA_003048875.1_genomic.fna.gz
G002165825	s__Campylobacter_A concisus_T	s__Campylobacter concisus	2027572	0.191387401841533	0.09994594129859734	6996	GCA_002165825.1_genomic.fna.gz
G003116505	s__Campylobacter_A concisus_T	s__Campylobacter concisus	2008280	0.005144991007699598	0.0026612422759570696	186	GCA_003116505.1_genomic.fna.gz
G000017725	s__Campylobacter_A concisus_T	s__Campylobacter concisus	2099413	0.0010755801456017126	0.0005815890078093311	41	GCA_000017725.2_genomic.fna.gz
G001044575	s__Bacillus_A wiedmannii	s__Bacillus wiedmannii	5523305	0.04675079126761039	0.06650641259860486	4655	GCA_001044575.1_genomic.fna.gz
G002569675	s__Bacillus_A wiedmannii	s__Bacillus wiedmannii	5356358	0.0022711832685030388	0.0031332662939215876	219	GCA_002569675.1_genomic.fna.gz
G001645455	s__Bacillus_A wiedmannii	s__Bacillus wiedmannii	5364880	0.12693815106754722	0.17539924157691703	12278	GCA_001645455.1_genomic.fna.gz
G002557315	s__Bacillus_A wiedmannii	s__Bacillus wiedmannii	5493997	0.09886662178714539	0.13989868858459162	9793	GCA_002557315.1_genomic.fna.gz
G002998985	s__Bacillus_A wiedmannii	s__Bacillus wiedmannii	5484064	0.004380034818764899	0.00618665086632734	433	GCA_002998985.1_genomic.fna.gz
G002156545	s__Pseudoalteromonas ulvae	s__Pseudoalteromonas ulvae	4586484	0.03731419448257407	0.04407877172652074	3086	GCA_002156545.1_genomic.fna.gz
G001269485	s__Pseudomonas_E protegens	s__Pseudomonas protegens	6959659	0.0007606787663560704	0.0013635302753348443	95	GCA_001269485.1_genomic.fna.gz
G000828695	s__Pseudomonas_E protegens	s__Pseudomonas protegens	6827892	0.0037861012554262934	0.006658162620433011	466	GCA_000828695.1_genomic.fna.gz
G000012265	s__Pseudomonas_E protegens	s__Pseudomonas protegens	7074893	0.07793113385367627	0.1420059042685813	9940	GCA_000012265.1_genomic.fna.gz
G000013045	s__Salinibacter ruber	s__Salinibacter ruber	3587328	0.013922087439172216	0.01286325784043478	900	GCA_000013045.1_genomic.fna.gz
G002894575	s__Salinibacter ruber	s__Salinibacter ruber	4056183	1.2665036197410673	1.3231208297674675	92618	GCA_002894575.1_genomic.fna.gz
G000090405	s__Salinibacter ruber	s__Salinibacter ruber	3832918	0.0014972573214790549	0.0014780921288885817	103	GCA_000090405.1_genomic.fna.gz
G000009865	s__Staphylococcus haemolyticus	s__Staphylococcus haemolyticus	2697861	0.0033774643595088443	0.0023468529354229604	164	GCA_000009865.1_genomic.fna.gz
G002114275	s__Staphylococcus haemolyticus	s__Staphylococcus haemolyticus	2517398	0.006414708233710442	0.004159147488045128	291	GCA_002114275.1_genomic.fna.gz
G002845455	s__Helicobacter_D winghamensis	s__Helicobacter winghamensis	1595752	0.07741901908305138	0.031819151356986326	2227	GCA_002845455.1_genomic.fna.gz
G001029645	s__Enterobacter ludwigii	s__Enterobacter ludwigii	4904981	0.02838019154724372	0.03585322135361013	2510	GCA_001029645.1_genomic.fna.gz
G002025685	s__Enterobacter ludwigii	s__Enterobacter ludwigii	4799256	0.0007306194575486935	0.0009031100623033239	63	GCA_002025685.1_genomic.fna.gz
G001750725	s__Enterobacter ludwigii	s__Enterobacter ludwigii	4952770	0.007907201962962745	0.010086640041485443	706	GCA_001750725.1_genomic.fna.gz
G001467505	s__Legionella_C birminghamensis	s__Legionella birminghamensis	3737655	0.0024333878402492746	0.0023425349330180112	164	GCA_001467505.1_genomic.fna.gz
G000442905	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2869246	0.0004921098952466189	0.00036366827231427187	25	GCA_000442905.1_genomic.fna.gz
G000969315	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2514449	0.0012961125112225325	0.000839384731017948	59	GCA_000969315.1_genomic.fna.gz
G003204295	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2554710	0.002312562975603122	0.001521635762823425	107	GCA_003204295.1_genomic.fna.gz
G000969305	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2410835	0.005110479805707902	0.0031732529684103767	222	GCA_000969305.1_genomic.fna.gz
G000368045	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3608403	0.0020772554659979027	0.0019305474317201535	135	GCA_000368045.1_genomic.fna.gz
G900162715	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3705435	0.0008738418368005017	0.0008339644989477355	58	GCA_900162715.1_genomic.fna.gz
G000368805	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3540498	0.024760167501958738	0.02257841557798643	1580	GCA_000368805.1_genomic.fna.gz
G001483265	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3357599	0.02049353170965451	0.017722344138669813	1241	GCA_001483265.1_genomic.fna.gz
G001484935	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	4081329	0.015890118107691472	0.016703376138675254	1169	GCA_001484935.1_genomic.fna.gz
G900167975	s__Ohtaekwangia koreensis	s__Ohtaekwangia koreensis	7241272	0.00023949022024209802	0.00044666114510224207	31	GCA_900167975.1_genomic.fna.gz
G001721625	s__Streptococcus suis	s__Streptococcus suis	2131882	0.06341302667835232	0.03481907069274003	2437	GCA_001721625.1_genomic.fna.gz
G000494895	s__Streptococcus suis	s__Streptococcus suis	2240234	0.007230923678845998	0.004172176691860393	292	GCA_000494895.1_genomic.fna.gz
G003285245	s__Streptococcus suis	s__Streptococcus suis	2228089	0.037425003442568584	0.021476816878794616	1503	GCA_003285245.1_genomic.fna.gz
G001610935	s__Streptococcus suis	s__Streptococcus suis	2146151	0.014663916760953731	0.008105611651281206	567	GCA_001610935.1_genomic.fna.gz
G002189695	s__Streptococcus suis	s__Streptococcus suis	2067932	7.732864471620794e-05	4.11862435237247e-05	3	GCA_002189695.1_genomic.fna.gz
G000239355	s__Cardiobacterium valvarum	s__Cardiobacterium valvarum	2553535	0.01841538224824408	0.012111504182112601	848	GCA_000239355.1_genomic.fna.gz
G002767815	s__Staphylococcus pseudintermedius	s__Staphylococcus pseudintermedius	2659857	0.039587610002030996	0.027120213391992963	1898	GCA_002767815.1_genomic.fna.gz
G002369795	s__Staphylococcus pseudintermedius	s__Staphylococcus pseudintermedius	2547015	0.0007507214142093519	0.0004924768695109536	34	GCA_002369795.1_genomic.fna.gz
G000407245	s__Enterococcus_A avium	s__Enterococcus avium	4614282	0.0027212571002889247	0.003234068680506282	226	GCA_000407245.1_genomic.fna.gz
G002891055	s__Enterococcus_A avium	s__Enterococcus avium	4571443	0.0017459608282462174	0.002055717038588992	144	GCA_002891055.1_genomic.fna.gz
G002252525	s__Ochrobactrum_A pseudogrignonense	s__Ochrobactrum pseudogrignonense	5531562	0.0015070925899197366	0.0021471542732408506	150	GCA_002252525.1_genomic.fna.gz
G002975235	s__Ochrobactrum_A pseudogrignonense	s__Ochrobactrum pseudogrignonense	4974493	0.00039746491256329684	0.0005092407519209234	36	GCA_002975235.1_genomic.fna.gz
G001652485	s__Ochrobactrum_A pseudogrignonense	s__Ochrobactrum pseudogrignonense	4992805	0.029463708725402923	0.037888511835970064	2652	GCA_001652485.1_genomic.fna.gz
G001867865	s__Oenococcus oeni	s__Oenococcus oeni	1897210	0.07469456841825423	0.03649891530409589	2555	GCA_001867865.1_genomic.fna.gz
G003264795	s__Oenococcus oeni	s__Oenococcus oeni	1826824	0.009624448563972378	0.004528434548137649	317	GCA_003264795.1_genomic.fna.gz
G001867765	s__Oenococcus oeni	s__Oenococcus oeni	1986909	0.0008637856157963197	0.00044203786770374403	31	GCA_001867765.1_genomic.fna.gz
G000762045	s__Oenococcus oeni	s__Oenococcus oeni	1903774	0.02972316628808854	0.014574242557342056	1020	GCA_000762045.1_genomic.fna.gz
G000697625	s__Oenococcus oeni	s__Oenococcus oeni	1786146	0.0020391337247440064	0.000938076363723863	66	GCA_000697625.1_genomic.fna.gz
G000724545	s__Aureispira sp000724545	s__Aureispira sp. CCB-QB1	7367602	0.004501784571734972	0.008542527709642466	598	GCA_000724545.1_genomic.fna.gz
G000507785	s__Faecalicatena lactaris	s__Ruminococcus lactaris	3086899	0.0038789572099380302	0.0030839898462011826	216	GCA_000507785.1_genomic.fna.gz
G000155205	s__Faecalicatena lactaris	s__Ruminococcus lactaris	2731235	1.6711214700101638	1.1755540951613173	82289	GCA_000155205.1_genomic.fna.gz
G001940785	s__Bacillus_W sp001940785	s__Bacillus sp. MRMR6	5438354	0.00333305210630644	0.004668583250513269	327	GCA_001940785.1_genomic.fna.gz
G900104595	s__Enterococcus_J timonensis	s__Enterococcus timonensis	2123933	0.0035570849702986295	0.0019458554850839142	136	GCA_900104595.1_genomic.fna.gz
G000740195	s__Brucella melitensis	s__Brucella abortus	3279946	0.04091394067242579	0.03456316745096042	2419	GCA_000740195.1_genomic.fna.gz
G900101465	s__Nocardioides lianchengensis	s__Nocardioides lianchengensis	5295570	0.10414605495456075	0.1420466733895955	9943	GCA_900101465.1_genomic.fna.gz
G000010705	s__Streptococcus dysgalactiae	s__Streptococcus dysgalactiae	2106340	0.052529752647909954	0.028497670563312896	1995	GCA_000010705.1_genomic.fna.gz
G900475725	s__Streptococcus dysgalactiae	s__Streptococcus dysgalactiae	2249230	0.0002777672346372617	0.0001609127337885434	11	GCA_900475725.1_genomic.fna.gz
G900475185	s__Streptococcus dysgalactiae	s__Streptococcus dysgalactiae	2255201	0.017413929770252003	0.010114806401044497	708	GCA_900475185.1_genomic.fna.gz
G900475145	s__Streptococcus dysgalactiae	s__Streptococcus dysgalactiae	2103757	0.006349814387580328	0.003440583761313381	241	GCA_900475145.1_genomic.fna.gz
G900474785	s__Streptococcus dysgalactiae	s__Streptococcus dysgalactiae	2079953	0.01681253991339442	0.009006631214611609	630	GCA_900474785.1_genomic.fna.gz
G900460915	s__Capnocytophaga ochracea	s__Capnocytophaga ochracea	2809526	0.03716514728516552	0.02689332154228324	1883	GCA_900460915.1_genomic.fna.gz
G001057035	s__Capnocytophaga ochracea	s__Capnocytophaga ochracea	2516120	0.0485345964815078	0.0314527268781495	2202	GCA_001057035.1_genomic.fna.gz
G000023285	s__Capnocytophaga ochracea	s__Capnocytophaga ochracea	2612925	0.06670584612471206	0.04489173309180347	3142	GCA_000023285.1_genomic.fna.gz
G900446705	s__Capnocytophaga ochracea	s__Capnocytophaga ochracea	2946791	0.18517195212042775	0.14054003923410047	9838	GCA_900446705.1_genomic.fna.gz
G000277585	s__Capnocytophaga ochracea	s__Capnocytophaga ochracea	2653757	0.009097862470284481	0.006218362717015924	435	GCA_000277585.1_genomic.fna.gz
G002234935	s__Streptococcus canis	s__Streptococcus canis	2045931	6.715193560431905	3.538547655742087	247698	GCA_002234935.1_genomic.fna.gz
G000268305	s__Streptococcus canis	s__Streptococcus canis	2267856	0.5358555182254925	0.3129959464857337	21910	GCA_000268305.2_genomic.fna.gz
G000221985	s__Streptococcus pseudopneumoniae	s__Streptococcus pseudopneumoniae	2195458	0.0012991158771706252	0.0007345959920106769	51	GCA_000221985.1_genomic.fna.gz
G000506705	s__Streptococcus pseudopneumoniae	s__Streptococcus pseudopneumoniae	2146559	0.009859479959989573	0.005450952143799829	382	GCA_000506705.1_genomic.fna.gz
G002780525	s__Streptococcus pseudopneumoniae	s__Streptococcus pseudopneumoniae	2139475	0.04127452318686054	0.022743893423672175	1592	GCA_002780525.1_genomic.fna.gz
G002780495	s__Streptococcus pseudopneumoniae	s__Streptococcus pseudopneumoniae	2158137	0.00595363630388257	0.003309305355190216	232	GCA_002780495.1_genomic.fna.gz
G000506685	s__Streptococcus pseudopneumoniae	s__Streptococcus pseudopneumoniae	2230983	0.006159498990717777	0.003539298402229228	248	GCA_000506685.1_genomic.fna.gz
G900109035	s__Cribrihabitans marinus	s__Cribrihabitans marinus	4175922	0.06220266428299255	0.06690166027995818	4683	GCA_900109035.1_genomic.fna.gz
G002993285	s__Gordonia iterans	s__Gordonia iterans	4006485	0.04187791879380574	0.04321396761996009	3025	GCA_002993285.1_genomic.fna.gz
G002150035	s__Leptospira_B venezuelensis	s__Leptospira venezuelensis	4308482	0.01026759751557445	0.011393801519455703	798	GCA_002150035.1_genomic.fna.gz
G002000885	s__Lactobacillus delbrueckii	s__Lactobacillus delbrueckii	1861754	0.001093297725042916	0.0005242473823855612	37	GCA_002000885.1_genomic.fna.gz
G002142575	s__Lactobacillus delbrueckii	s__Lactobacillus delbrueckii	2012440	0.0008069632889211568	0.00041826569793909255	29	GCA_002142575.1_genomic.fna.gz
G001888965	s__Lactobacillus delbrueckii	s__Lactobacillus delbrueckii	2004337	0.0018431560383138628	0.0009514990908018022	67	GCA_001888965.1_genomic.fna.gz
G002285775	s__Lactobacillus delbrueckii	s__Lactobacillus delbrueckii	2237608	0.0016402117340170365	0.0009452777840853874	66	GCA_002285775.1_genomic.fna.gz
G000014405	s__Lactobacillus delbrueckii	s__Lactobacillus delbrueckii	1856951	0.004808183725471117	0.0022996250393906843	161	GCA_000014405.1_genomic.fna.gz
G000158335	s__Bacteroides_B dorei	s__Bacteroides dorei	5538248	0.0048234459958122365	0.00688026792465113	482	GCA_000158335.2_genomic.fna.gz
G000156075	s__Bacteroides_B dorei	s__Bacteroides dorei	5566217	0.020160836539058848	0.028903085824267642	2023	GCA_000156075.1_genomic.fna.gz
G001640865	s__Bacteroides_B dorei	s__Bacteroides dorei	5310365	0.01524131588935606	0.02084598244228735	1459	GCA_001640865.1_genomic.fna.gz
G002160605	s__Bacteroides_B dorei	s__Bacteroides dorei	5371359	0.00045824658513036353	0.0006339557536472545	44	GCA_002160605.1_genomic.fna.gz
G002161715	s__Bacteroides_B dorei	s__Bacteroides dorei	5433399	0.0002739203612514838	0.00038332879584584067	27	GCA_002161715.1_genomic.fna.gz
G002873375	s__Vibrio cyclitrophicus	s__Vibrio cyclitrophicus	5084156	0.025175842894188977	0.0329669233394947	2308	GCA_002873375.1_genomic.fna.gz
G002875125	s__Vibrio cyclitrophicus	s__Vibrio cyclitrophicus	5803393	0.0011841123656875464	0.0017699069257447228	124	GCA_002875125.1_genomic.fna.gz
G002877585	s__Vibrio cyclitrophicus	s__Vibrio cyclitrophicus	5456080	0.003797279204024135	0.005336159361374285	374	GCA_002877585.1_genomic.fna.gz
G002873235	s__Vibrio cyclitrophicus	s__Vibrio cyclitrophicus	5175625	0.021224777878430252	0.02829316202280266	1981	GCA_002873235.1_genomic.fna.gz
G000473545	s__Vibrio cyclitrophicus	s__Vibrio cyclitrophicus	5090015	1.0709666082061708	1.404011040683548	98281	GCA_000473545.1_genomic.fna.gz
G000244015	s__Leptospira interrogans	s__Leptospira interrogans	4853577	0.010581794493459506	0.013228078926828712	926	GCA_000244015.3_genomic.fna.gz
G000216355	s__Leptospira interrogans	s__Leptospira interrogans	4581018	0.04770877326251424	0.05629058713452085	3940	GCA_000216355.3_genomic.fna.gz
G001047655	s__Leptospira interrogans	s__Leptospira interrogans	4667354	0.013103241299835013	0.015751612198565516	1103	GCA_001047655.1_genomic.fna.gz
G002022745	s__Neisseria lactamica	s__Neisseria lactamica	2146723	0.20419222321480449	0.11289916702590112	7903	GCA_002022745.1_genomic.fna.gz
G000196295	s__Neisseria lactamica	s__Neisseria lactamica	2220606	0.004240107143384344	0.0024250677185092126	170	GCA_000196295.1_genomic.fna.gz
G002224385	s__Campylobacter_D jejuni	s__Campylobacter jejuni	1620303	0.4926038215503731	0.2055746423964016	14390	GCA_002224385.1_genomic.fna.gz
G003060765	s__Campylobacter_D jejuni	s__Campylobacter jejuni	1614396	0.033078582188469347	0.013754109896696391	963	GCA_003060765.1_genomic.fna.gz
G002234455	s__Campylobacter_D jejuni	s__Campylobacter jejuni	1704891	0.052575869473277984	0.02308652738406823	1616	GCA_002234455.1_genomic.fna.gz
G000835305	s__Campylobacter_D jejuni	s__Campylobacter jejuni	1670781	0.0009077338576053165	0.0003906192061056734	27	GCA_000835305.1_genomic.fna.gz
G000737085	s__Campylobacter_D jejuni	s__Campylobacter jejuni	1651739	0.008834741588731114	0.00375846755069397	263	GCA_000737085.1_genomic.fna.gz
G002215565	s__Sulfolobus acidocaldarius	s__Sulfolobus acidocaldarius	2225849	0.635578619606612	0.3643682349661922	25506	GCA_002215565.1_genomic.fna.gz
