Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G003462905	s__Erysipelatoclostridium ramosum	s__Erysipelatoclostridium ramosum	3703302	0.018733011442598906	0.017092095310611767	1196	GCA_003462905.1_genomic.fna.gz
G001114105	s__Yersinia similis	s__Yersinia similis	4867714	0.007708774266617881	0.009245043520684604	647	GCA_001114105.1_genomic.fna.gz
G003358535	s__Escherichia marmotae	s__Escherichia marmotae	4577335	0.026657336179951995	0.03006270290423179	2104	GCA_003358535.1_genomic.fna.gz
G000170935	s__Borreliella afzelii	s__Borreliella afzelii	1353819	0.58890382643224	0.19642807421521802	13750	GCA_000170935.2_genomic.fna.gz
G000305995	s__Lactococcus garvieae	s__Lactococcus garvieae	2242863	0.016674481512537767	0.009214115733663557	645	GCA_000305995.1_genomic.fna.gz
G003790445	s__Bergeriella sp002216145	s__Neisseria chenwenguii	2451910	0.09455714671824	0.05712121828150053	3998	GCA_003790445.1_genomic.fna.gz
G002907225	s__Lactobacillus_G sanfranciscensis	s__Lactobacillus sanfranciscensis	1278409	0.041802829256800476	0.013166613082585994	922	GCA_002907225.1_genomic.fna.gz
G004167545	s__Bacteroides salyersiae	s__Bacteroides salyersiae	5853831	0.0035672443128323926	0.005144836909489341	360	GCA_004167545.1_genomic.fna.gz
G002103875	s__Clostridium_F botulinum	s__Clostridium botulinum	3906590	0.004098266968611244	0.003944542662442149	276	GCA_002103875.1_genomic.fna.gz
G002442595	s__Borreliella burgdorferi	s__Borreliella burgdorferi	1410009	0.08709169584781895	0.030255003655955022	2118	GCA_002442595.1_genomic.fna.gz
G006770325	s__Bordetella hinzii	s__Bordetella hinzii	4809490	0.001163725372998813	0.0013789486923506968	97	GCA_006770325.1_genomic.fna.gz
G001742965	s__Lactobacillus_F plantarum	s__Lactobacillus plantarum	3165622	0.0015424802544380977	0.0012030321857014364	84	GCA_001742965.1_genomic.fna.gz
G003025755	s__Photobacterium phosphoreum	s__Photobacterium phosphoreum	4475701	0.01994476920096328	0.021993211899157677	1540	GCA_003025755.1_genomic.fna.gz
G000474195	s__Geobacillus thermoleovorans	s__Geobacillus thermoleovorans	3353053	0.0027702628471560063	0.002288547724977945	160	GCA_000474195.1_genomic.fna.gz
G001569395	s__Leptospira alstonii	s__Leptospira alstonii	4247829	0.12263020357368881	0.12834030071324495	8984	GCA_001569395.1_genomic.fna.gz
G003035465	s__Staphylococcus devriesei	s__Staphylococcus devriesei	2351603	0.0067209479876303175	0.0038939746313922962	273	GCA_003035465.1_genomic.fna.gz
G006381955	s__Vibrio fluvialis	s__Vibrio fluvialis	4828208	0.004367374927389085	0.005195232948841288	364	GCA_006381955.1_genomic.fna.gz
G900083945	s__Klebsiella_A oxytoca	s__Klebsiella oxytoca	6217523	0.008080415533723847	0.012377977050567467	866	GCA_900083945.1_genomic.fna.gz
G001658565	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis	2456484	1.0523522618584127	0.6369035306702553	44583	GCA_001658565.1_genomic.fna.gz
G900104755	s__Bradyrhizobium ottawaense_A	s__Bradyrhizobium lablabi	8269569	0.7014937406763326	1.4292402995304594	100047	GCA_900104755.1_genomic.fna.gz
G002894315	s__Castellaniella caeni	s__Castellaniella caeni	3414267	0.03920207848747183	0.03297654500765422	2308	GCA_002894315.1_genomic.fna.gz
G002835295	s__Macrococcus caseolyticus	s__Macrococcus caseolyticus	2240750	0.009978749522180686	0.005508940787095734	386	GCA_002835295.1_genomic.fna.gz
G000228545	s__Streptococcus sobrinus	s__Streptococcus sobrinus	2107227	0.002925768414332646	0.0015189722756920082	106	GCA_000228545.2_genomic.fna.gz
G004745935	s__Staphylococcus petrasii	s__Staphylococcus petrasii	2625899	0.020699329699008655	0.013391612609875233	937	GCA_004745935.1_genomic.fna.gz
G000471945	s__Bifidobacterium animalis	s__Bifidobacterium animalis	1963012	0.00413015193815093	0.001997503554740802	140	GCA_000471945.1_genomic.fna.gz
G002767355	s__Staphylococcus pseudintermedius	s__Staphylococcus pseudintermedius	2747209	0.0005796980963061283	0.00039236670965756395	27	GCA_002767355.1_genomic.fna.gz
G000231345	s__Shewanella baltica	s__Shewanella baltica	5195239	0.006465130343902231	0.00827525517335665	579	GCA_000231345.2_genomic.fna.gz
G002999455	s__Mesoplasma coleopterae	s__Mesoplasma coleopterae	803948	1.620245937578384	0.32092790285363926	22465	GCA_002999455.1_genomic.fna.gz
G001372435	s__Paeniclostridium sordellii	s__Paeniclostridium sordellii	3524779	0.11383499683740174	0.09885673666699343	6920	GCA_001372435.1_genomic.fna.gz
G002968815	s__Neorhizobium galegae_A	s__Neorhizobium tomejilense	6616908	0.013214436202984682	0.02154280809530387	1508	GCA_002968815.1_genomic.fna.gz
G003581405	s__Bordetella avium	s__Bordetella avium	3720772	0.009643298961629987	0.008840101816984853	619	GCA_003581405.1_genomic.fna.gz
G001477425	s__Pseudomonas_E parafulva_B	s__Pseudomonas parafulva	4671094	0.08474415570270928	0.09752746638058969	6827	GCA_001477425.1_genomic.fna.gz
G003416545	s__Pseudomonas_E tremae	s__Pseudomonas coronafaciens	5724552	0.0009278100347916788	0.001308576593673468	92	GCA_003416545.1_genomic.fna.gz
G002020515	s__GCF-000787395 sp000787395	s__Solemya velum gill symbiont	2556190	0.19920672941027492	0.12545723582437424	8782	GCA_002020515.1_genomic.fna.gz
G004011095	s__Rathayibacter rathayi	s__Rathayibacter rathayi	3103889	0.0802510004394592	0.06136987162194912	4296	GCA_004011095.1_genomic.fna.gz
G001077105	s__Proteus mirabilis	s__Proteus mirabilis	3937909	0.017983375680729823	0.017447590943582385	1221	GCA_001077105.1_genomic.fna.gz
G000817295	s__Riesia pediculischaeffi	s__Candidatus Riesia pediculischaeffi	581916	0.03804167958384624	0.005454043024058752	382	GCA_000817295.2_genomic.fna.gz
G001053405	s__Corynebacterium striatum	s__Corynebacterium striatum	2914153	0.06680820506470478	0.047966798302515386	3358	GCA_001053405.1_genomic.fna.gz
G900109755	s__Pseudomonas_E agarici	s__Pseudomonas agarici	5508099	0.008482491982029227	0.011511284115201765	806	GCA_900109755.1_genomic.fna.gz
G000327465	s__Anoxybacillus flavithermus_F	s__Anoxybacillus flavithermus	2658425	0.20358796847914132	0.13334449745835486	9334	GCA_000327465.1_genomic.fna.gz
G004153825	s__Serratia liquefaciens	s__Serratia liquefaciens	5471693	0.0033407339527695163	0.004503624688232912	315	GCA_004153825.1_genomic.fna.gz
G000783455	s__Providencia stuartii_B	s__Providencia stuartii	4561501	0.05574876735248705	0.06265296399167361	4386	GCA_000783455.2_genomic.fna.gz
G002969215	s__Herbivorax saccincola	s__Hungateiclostridium saccincola	3759855	0.32701645431429893	0.30292790386359353	21205	GCA_002969215.1_genomic.fna.gz
G900509865	s__Klebsiella variicola	s__Klebsiella variicola	5434943	0.5001468984528701	0.6697167352678804	46880	GCA_900509865.1_genomic.fna.gz
G003207815	s__Komagataeibacter oboediens	s__Komagataeibacter oboediens	3777265	0.4689696059074943	0.43643616320906964	30551	GCA_003207815.1_genomic.fna.gz
G002988975	s__Haemophilus influenzae	s__Haemophilus influenzae	1914452	0.0005132349672698936	0.00024208021560276704	17	GCA_002988975.1_genomic.fna.gz
G003029845	s__Acidovorax_A cattleyae	s__Acidovorax cattleyae	5618386	0.31596216932400706	0.43736622072062614	30616	GCA_003029845.1_genomic.fna.gz
G001570645	s__Streptomyces hygroscopicus	s__Streptomyces hygroscopicus	10165415	0.041881251919616	0.10489223668787179	7342	GCA_001570645.1_genomic.fna.gz
G001368995	s__Propionibacterium freudenreichii	s__Propionibacterium freudenreichii	2580419	0.08133885847434735	0.05171146980052114	3620	GCA_001368995.1_genomic.fna.gz
G001611115	s__Pediococcus damnosus	s__Pediococcus damnosus	2281098	0.3256331579059852	0.18300844987299295	12811	GCA_001611115.1_genomic.fna.gz
G000346125	s__Meiothermus ruber	s__Meiothermus ruber	3029287	0.0062800960737813705	0.004687111518103781	328	GCA_000346125.2_genomic.fna.gz
G000410195	s__Lactobacillus_C paracasei	s__Lactobacillus paracasei	3059079	1.01126092485929	0.7621711346255222	53352	GCA_000410195.1_genomic.fna.gz
G004300845	s__Hamiltonella defensa	s__Candidatus Hamiltonella defensa	1773103	0.1597407011166513	0.06978275779865947	4885	GCA_004300845.1_genomic.fna.gz
G000187605	s__Helicobacter_E suis	s__Helicobacter suis	1669960	0.08587962048872033	0.035334159337522916	2473	GCA_000187605.2_genomic.fna.gz
G000244795	s__Leptospira santarosai	s__Leptospira santarosai	4072579	0.23063853992726938	0.23141951303123237	16199	GCA_000244795.3_genomic.fna.gz
G001467525	s__Legionella anisa	s__Legionella anisa	4398856	0.018637918497042327	0.020199272647629354	1414	GCA_001467525.1_genomic.fna.gz
G001955935	s__Paenibacillus polymyxa_B	s__Paenibacillus peoriae	5996202	0.027350095914854995	0.040404867455900405	2828	GCA_001955935.1_genomic.fna.gz
G002979275	s__Bacillus_X frigoritolerans	s__Bacillus simplex	5863830	0.06647172485080184	0.0960322041809829	6722	GCA_002979275.1_genomic.fna.gz
G002272125	s__Bacillus_AC circulans	s__Bacillus circulans	5034511	0.01874391968424163	0.02324964288899281	1627	GCA_002272125.1_genomic.fna.gz
