Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900104915	s__Pseudomonas_E cedrina	s__Pseudomonas cedrina	6539015	0.09078798142980532	0.12919996440714188	9044	GCA_900104915.1_genomic.fna.gz
G003149185	s__Sediminitomix flava	s__Sediminitomix flava	6603976	0.02868129876932368	0.041221709659519774	2886	GCA_003149185.1_genomic.fna.gz
G000482505	s__Leptotrichia trevisanii	s__Leptotrichia trevisanii	2853356	0.0919040732016741	0.05707059757942271	3995	GCA_000482505.1_genomic.fna.gz
G900452275	s__Kluyvera cryocrescens	s__Kluyvera cryocrescens	4816895	0.009864024669581941	0.010340535491230348	724	GCA_900452275.1_genomic.fna.gz
G002844595	s__Pleomorphomonas diazotrophica	s__Pleomorphomonas diazotrophica	4526482	0.004820034817056814	0.004748240120531532	332	GCA_002844595.1_genomic.fna.gz
G001998725	s__Rodentibacter sp001712855	s__Rodentibacter heylii	2342035	0.01104246083241386	0.005628348088035741	394	GCA_001998725.1_genomic.fna.gz
G002442875	s__Halobacteriovorax marinus	s__Halobacteriovorax marinus	3393238	0.0635952536971548	0.04696352927116358	3287	GCA_002442875.1_genomic.fna.gz
G003105115	s__Flavobacterium sp003105115	s__Flavobacterium sp. HTF	5140580	0.022090958835023516	0.024714304251847008	1730	GCA_003105115.1_genomic.fna.gz
G000420825	s__Butyrivibrio sp000420825	s__Butyrivibrio sp. AE2015	3711555	0.008861928937622585	0.0071582335515784625	501	GCA_000420825.1_genomic.fna.gz
G001723605	s__Sulfurospirillum halorespirans	s__Sulfurospirillum halorespirans	3029840	0.0005604206404754346	0.00036953494805528947	26	GCA_001723605.1_genomic.fna.gz
G002802945	s__Streptomyces sp002802945	s__Streptomyces sp. TSRI0384-2	6937431	0.036752933706097335	0.055489701440602376	3884	GCA_002802945.1_genomic.fna.gz
G002354875	s__Actinosynnema pretiosum	s__Actinosynnema pretiosum	8131572	0.10788103778750385	0.1909155608446776	13364	GCA_002354875.1_genomic.fna.gz
G900116125	s__UNC496MF sp900116125	s__Paenibacillus sp. BC26	7195142	0.14420114755987332	0.22580304084804811	15806	GCA_900116125.1_genomic.fna.gz
G900115805	s__Paenisporosarcina psychrotolerans	s__Psychrobacillus psychrotolerans	3607666	0.019148692355022198	0.015034436167896742	1052	GCA_900115805.1_genomic.fna.gz
G001618685	s__Geobacillus subterraneus	s__Geobacillus subterraneus	3474426	0.11732428011226946	0.08871410279235531	6210	GCA_001618685.1_genomic.fna.gz
G002101995	s__Mycolicibacterium fallax	s__Mycolicibacterium fallax	4232450	0.03744020545248014	0.0344867095827389	2414	GCA_002101995.1_genomic.fna.gz
G002836735	s__Psychrobacter sp002836735	s__Psychrobacter sp. 4Bb	3360326	0.0026444279442555427	0.001933903726753864	135	GCA_002836735.1_genomic.fna.gz
G900156425	s__Haladaptatus litoreus	s__Haladaptatus litoreus	4671707	0.11981393963555086	0.1218160872287016	8527	GCA_900156425.1_genomic.fna.gz
G900103985	s__Streptomyces_B guanduensis	s__Streptomyces guanduensis	8220839	0.053048507347594864	0.09490978981415946	6644	GCA_900103985.1_genomic.fna.gz
G000799815	s__Rahnella aquatilis	s__Rahnella aquatilis	5370892	0.012477004750181039	0.014584060598386617	1021	GCA_000799815.1_genomic.fna.gz
G001687365	s__Pararhizobium polonicum	s__Pararhizobium polonicum	6265340	0.1905556058098668	0.25982927019679386	18188	GCA_001687365.1_genomic.fna.gz
G000008045	s__Rickettsia typhi	s__Rickettsia typhi	1111496	0.011833377508461689	0.0028624527328685602	200	GCA_000008045.1_genomic.fna.gz
G001951155	s__Gramella flava	s__Gramella flava	4007868	0.14775372320865504	0.1288764436323186	9021	GCA_001951155.1_genomic.fna.gz
G001746285	s__Streptomyces anulatus_B	s__Streptomyces sp. EN16	8570873	0.025078952189862867	0.04677956162853841	3275	GCA_001746285.1_genomic.fna.gz
G001439605	s__Bacillus_AA praedii	s__Bacillus praedii	5271464	0.04322484404992555	0.049589117585942755	3471	GCA_001439605.1_genomic.fna.gz
G001625015	s__Lewinella_A sp001625015	s__Lewinella sp. 4G2	5213657	0.4311026943415027	0.48915319381330985	34241	GCA_001625015.2_genomic.fna.gz
G000428145	s__Chitinilyticum litopenaei	s__Chitinilyticum litopenaei	3968450	0.008341727596773032	0.007204413257569664	504	GCA_000428145.1_genomic.fna.gz
G000725725	s__Streptomyces xanthophaeus	s__Streptomyces xanthophaeus	8568408	0.38932633912062825	0.725998334430051	50820	GCA_000725725.1_genomic.fna.gz
G003254565	s__Flavobacterium nitrogenifigens	s__Flavobacterium nitrogenifigens	5436059	0.004915358364205513	0.005815151696362943	407	GCA_003254565.1_genomic.fna.gz
G000597865	s__Peptoclostridium_A acidaminophilum	s__Peptoclostridium acidaminophilum	3055036	0.1543094856952015	0.10259605372504535	7182	GCA_000597865.1_genomic.fna.gz
G002163755	s__Vibrio campbellii	s__Vibrio campbellii	5178103	0.010799285847777769	0.01216991155287905	852	GCA_002163755.1_genomic.fna.gz
G900100255	s__Asticcacaulis taihuensis	s__Asticcacaulis taihuensis	3967832	0.02871961748904468	0.02480011114711712	1736	GCA_900100255.1_genomic.fna.gz
G000317065	s__PCC-7367 sp000317065	s__Pseudanabaena sp. PCC 7367	4885680	0.00033449420095409957	0.0003556602353421699	25	GCA_000317065.1_genomic.fna.gz
G900107205	s__Halopenitus persicus	s__Halopenitus persicus	3424491	0.009262161601594448	0.006902876182981266	483	GCA_900107205.1_genomic.fna.gz
G000743945	s__Basilea psittacipulmonis	s__Basilea psittacipulmonis	1959069	0.010733985098913337	0.0045764889784717325	320	GCA_000743945.1_genomic.fna.gz
G000744505	s__Rhizobium alamii	s__Rhizobium alamii	7315509	0.7991483791112469	1.2723121430366093	89062	GCA_000744505.1_genomic.fna.gz
G000018405	s__Desulfococcus_A oleovorans	s__Desulfococcus oleovorans	3944167	0.001977374801939127	0.0016973288415286602	119	GCA_000018405.1_genomic.fna.gz
G000145035	s__Butyrivibrio proteoclasticus	s__Butyrivibrio proteoclasticus	4404886	0.09198416941047802	0.08817987211062497	6173	GCA_000145035.1_genomic.fna.gz
