Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G006148965	s__Dorea longicatena	s__Dorea longicatena	3189541	0.9512772071343637	0.8425693419589175	58980	GCA_006148965.1_genomic.fna.gz
G002006445	s__Clostridium beijerinckii	s__Clostridium beijerinckii	5781472	0.008784528656817104	0.014103511696695614	987	GCA_002006445.1_genomic.fna.gz
G004099885	s__Lactobacillus_H mucosae	s__Lactobacillus mucosae	2002757	0.00013195190874464184	7.338618437486191e-05	5	GCA_004099885.1_genomic.fna.gz
G003932965	s__Brevibacterium aurantiacum	s__Brevibacterium aurantiacum	4085228	0.027385327003455192	0.031067378136743866	2175	GCA_003932965.1_genomic.fna.gz
G000808145	s__Pectobacterium carotovorum_E	s__Pectobacterium brasiliense	4857062	0.04125340445922151	0.05564213869495612	3895	GCA_000808145.1_genomic.fna.gz
G003578105	s__Staphylococcus devriesei	s__Staphylococcus devriesei	2353318	0.12669508464325255	0.08279626675604945	5796	GCA_003578105.1_genomic.fna.gz
G003386665	s__Xenorhabdus cabanillasii	s__Xenorhabdus cabanillasii	4335622	0.3543012836735731	0.4265741259954661	29860	GCA_003386665.1_genomic.fna.gz
G900631635	s__Burkholderia gladioli	s__Burkholderia gladioli	8643150	0.0177196536076114	0.042530222076869836	2977	GCA_900631635.1_genomic.fna.gz
G001528875	s__Burkholderia ubonensis	s__Burkholderia ubonensis	7726651	1.2890806025214057	2.7659335497389717	193615	GCA_001528875.1_genomic.fna.gz
G001938355	s__Glaesserella parasuis	s__Glaesserella parasuis	2193342	0.05910430566439344	0.03599944846727958	2520	GCA_001938355.1_genomic.fna.gz
G001541515	s__Lactobacillus crispatus	s__Lactobacillus crispatus	2242963	0.025820126789399274	0.01608239973506911	1126	GCA_001541515.1_genomic.fna.gz
G003464005	s__Veillonella parvula_A	s__Veillonella parvula	2087186	0.09846067309661728	0.05706821987669861	3995	GCA_003464005.1_genomic.fna.gz
G000953555	s__Paeniclostridium sordellii	s__Paeniclostridium sordellii	3562865	0.008275624637333442	0.00818786216676522	573	GCA_000953555.1_genomic.fna.gz
G002978315	s__Cronobacter malonaticus	s__Cronobacter malonaticus	4397372	0.03133580619765865	0.03826524089817422	2679	GCA_002978315.1_genomic.fna.gz
G003362915	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	5038331	0.006241341736933836	0.008732428343815579	611	GCA_003362915.1_genomic.fna.gz
G002214045	s__Listeria monocytogenes	s__Listeria monocytogenes	2999305	0.014299394038825297	0.011909914338497703	834	GCA_002214045.1_genomic.fna.gz
G901933195	s__Lactobacillus_C paracasei	s__Lactobacillus paracasei	3061851	0.0019213687338974638	0.0016336730484361806	114	GCA_901933195.1_genomic.fna.gz
G003590075	s__Brevibacillus_B laterosporus	s__Brevibacillus laterosporus	5706749	0.00759141238681446	0.01203044599834086	842	GCA_003590075.1_genomic.fna.gz
G002754795	s__Bacillus siamensis	s__Bacillus siamensis	4019797	0.017259386805238943	0.01926636821380165	1349	GCA_002754795.1_genomic.fna.gz
