Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G001401755	s__Aquimarina longa	s__Aquimarina longa	5506799	0.007235811320322451	0.009509199925151392	666	GCA_001401755.1_genomic.fna.gz
G000735345	s__Ewingella americana	s__Ewingella americana	4867810	0.16379336997196398	0.19027750870592836	13319	GCA_000735345.1_genomic.fna.gz
G900094925	s__Kosakonia oryzendophytica	s__Kosakonia oryzendophytica	4841527	0.20342313258711356	0.23503915423205168	16453	GCA_900094925.1_genomic.fna.gz
G000576285	s__Gluconobacter thailandicus	s__Gluconobacter thailandicus	3446046	0.38880560244029283	0.31975040573706615	22383	GCA_000576285.1_genomic.fna.gz
G000743945	s__Basilea psittacipulmonis	s__Basilea psittacipulmonis	1959069	4.668762525611415	2.1827753286525042	152794	GCA_000743945.1_genomic.fna.gz
G000406125	s__Dickeya sp000406125	s__Dickeya sp. NCPPB 569	4220760	0.013031438805755028	0.013126246228388604	919	GCA_000406125.1_genomic.fna.gz
G900215725	s__Ezakiella peruensis	s__Ezakiella peruensis	1673080	0.22992690011939695	0.09180450885518777	6426	GCA_900215725.1_genomic.fna.gz
G900113915	s__UNC496MF sp900113915	s__Paenibacillus sp. UNC496MF	7365448	0.031817659680181395	0.05592743731656221	3915	GCA_900113915.1_genomic.fna.gz
G000949385	s__Pseudomonas_F sp000949385	s__Pseudomonas sp. LFM046	5972904	2.2328308101226333	3.1827232040729765	222791	GCA_000949385.2_genomic.fna.gz
G000381325	s__Thioalkalivibrio sp000378605	s__Thioalkalivibrio sp. AL21	2966254	1.7694494293048832	1.2525757849322963	87680	GCA_000381325.1_genomic.fna.gz
G000422205	s__Desulfohalovibrio sp000422205	s__Desulfovibrio sp. X2	3912295	0.36571484419954936	0.3414536053709502	23902	GCA_000422205.1_genomic.fna.gz
G001428105	s__Paenibacillus_E sp001428105	s__Paenibacillus sp. Soil766	8257780	0.7895947980332588	1.556055584473327	108924	GCA_001428105.1_genomic.fna.gz
G001281485	s__Altererythrobacter epoxidivorans	s__Altererythrobacter epoxidivorans	2786256	0.004730077598303266	0.0031451893895048165	220	GCA_001281485.1_genomic.fna.gz
G003024605	s__Rhizobium sp003024605	s__Rhizobium sp. JAB6	4014264	19.699243457070608	18.871785770493464	1321025	GCA_003024605.1_genomic.fna.gz
G000812665	s__Halocynthiibacter_B arcticus	s__Halocynthiibacter arcticus	4376120	0.29484684369322284	0.30792377702303714	21555	GCA_000812665.2_genomic.fna.gz
G900167375	s__Anaerorhabdus furcosa	s__Anaerorhabdus furcosa	2406951	0.10985600530769837	0.06310279146979465	4417	GCA_900167375.1_genomic.fna.gz
G000242675	s__Eubacterium_B infirmum	s__[Eubacterium] infirmum	1910927	0.1220758213340862	0.05567128827288115	3897	GCA_000242675.1_genomic.fna.gz
G001425085	s__Microterricola sp001425085	s__Leifsonia sp. Root4	3867359	1.061387817971397	0.9795939789748644	68572	GCA_001425085.1_genomic.fna.gz
G002591815	s__Pseudoalteromonas sp002591815	s__Pseudoalteromonas sp. GCY	5384939	0.29341047223603967	0.37706299954983785	26394	GCA_002591815.1_genomic.fna.gz
G000014245	s__Chelativorans sp000014245	s__Chelativorans sp. BNC1	4935185	0.023110985469893625	0.02721945475473207	1905	GCA_000014245.1_genomic.fna.gz
G000312325	s__Anaerococcus pacaensis	s__Casaltella massiliensis	2375244	0.034346345271201624	0.01946911815382267	1363	GCA_000312325.1_genomic.fna.gz
G002294795	s__Mesorhizobium sp002294985	s__Mesorhizobium sp. WSM3866	6447026	0.09298193659841932	0.14305911320057316	10014	GCA_002294795.1_genomic.fna.gz
G001306465	s__Frankia sp001306465	s__Frankia sp. R43	10448868	1.1255226754213339	2.806603170019619	196462	GCA_001306465.1_genomic.fna.gz
G001545115	s__Protochlamydia sp001545115	s__Parachlamydia sp. C2	3424182	0.5902348652887099	0.48232438519616416	33763	GCA_001545115.1_genomic.fna.gz
G900169175	s__Brevibacterium jeotgali	s__Brevibacterium jeotgali	3297707	1.9643853494462762	1.5459529496413589	108217	GCA_900169175.1_genomic.fna.gz
G002025255	s__Halolamina sp002025255	s__Halolamina sp. CBA1230	3472516	0.3564438127651905	0.2953880049802973	20677	GCA_002025255.1_genomic.fna.gz
G001189235	s__Bradyrhizobium embrapense	s__Bradyrhizobium embrapense	8267832	3.1616286435366243	6.238210429862329	436675	GCA_001189235.2_genomic.fna.gz
G002075855	s__Bifidobacterium catenulatum	s__Bifidobacterium catenulatum	2124599	0.3411277859087409	0.17296235419491826	12107	GCA_002075855.1_genomic.fna.gz
G001294455	s__Pseudophaeobacter sp001294455	s__Phaeobacter sp. 11ANDIMAR09	4709832	0.12914090825751903	0.14515325269238408	10161	GCA_001294455.1_genomic.fna.gz
G000761485	s__Modestobacter caceresii	s__Modestobacter caceresii	4953652	9.164827560427636	10.834461014951296	758412	GCA_000761485.1_genomic.fna.gz
G000407165	s__Enterococcus haemoperoxidus	s__Enterococcus haemoperoxidus	3581919	0.03250632384741076	0.027786966536662343	1945	GCA_000407165.1_genomic.fna.gz
G001556025	s__Bosea sp001556025	s__Rhizobiales bacterium CCH3-A5	5138286	0.1296667240105981	0.159002638832303	11130	GCA_001556025.1_genomic.fna.gz
G000341085	s__Nocardiopsis ganjiahuensis	s__Nocardiopsis ganjiahuensis	7352287	0.1562379392424492	0.2741362535663434	19190	GCA_000341085.1_genomic.fna.gz
G900240405	s__Salirhabdus sp900240405	s__Salirhabdus sp. Marseille-P4669	3492078	0.8229806286664696	0.6858530403855085	48010	GCA_900240405.1_genomic.fna.gz
G002252625	s__WH-5701 sp002252625	s__Synechococcus sp. 1G10	3340220	0.020623508002673818	0.01643974706094751	1151	GCA_002252625.1_genomic.fna.gz
G001666875	s__Mycolicibacterium sp001953975	s__Mycobacterium sp. E802	5913732	1.3901457810099938	1.9619119152974454	137334	GCA_001666875.1_genomic.fna.gz
G002278075	s__Paraburkholderia aromaticivorans	s__Paraburkholderia aromaticivorans	8907716	0.07683684718820853	0.16334032605860108	11434	GCA_002278075.1_genomic.fna.gz
G003013815	s__Crocosphaera sp003013815	s__Cyanothece sp. BG0011	5603048	0.18379111858723504	0.24575727542382975	17203	GCA_003013815.1_genomic.fna.gz
G003115775	s__Cellulomonas sp003115775	s__Cellulomonas sp. WB94	3868980	0.2279512597361426	0.21047281079805452	14733	GCA_003115775.1_genomic.fna.gz
G900113175	s__Planifilum fulgidum	s__Planifilum fulgidum	3382342	0.6702233465237534	0.5409966677036535	37870	GCA_900113175.1_genomic.fna.gz
G000621805	s__Ruminococcus_D sp000621805	s__Ruminococcus sp. FC2018	2404446	0.3623899953325659	0.20794512674727236	14556	GCA_000621805.1_genomic.fna.gz
G001633025	s__Paenibacillus glucanolyticus_B	s__Paenibacillus glucanolyticus	7039886	0.5813879540869816	0.9767629444916979	68373	GCA_001633025.1_genomic.fna.gz
G000016905	s__Thermosipho melanesiensis	s__Thermosipho melanesiensis	1915238	1.443586568760541	0.6598163944757339	46187	GCA_000016905.1_genomic.fna.gz
G001187915	s__Arthrobacter_D sp001187915	s__Arthrobacter sp. RIT-PI-e	3459090	0.47696858527155417	0.3937396558537342	27562	GCA_001187915.1_genomic.fna.gz
G001683825	s__CP2B sp001683825	s__Flavobacteriaceae bacterium CP2B	4116634	1.6308563092930703	1.6021953774218187	112154	GCA_001683825.1_genomic.fna.gz
G001584205	s__Collimonas arenae	s__Collimonas arenae	4709377	0.5540107678374773	0.622643106018924	43585	GCA_001584205.1_genomic.fna.gz
G001424185	s__Deinococcus sp001424185	s__Deinococcus sp. Leaf326	4602077	0.00032552036074132954	0.0003575111232806498	25	GCA_001424185.1_genomic.fna.gz
G002895565	s__Petrotoga mexicana	s__Petrotoga mexicana	2128686	4.7704128388030105	2.4233999171339686	169638	GCA_002895565.1_genomic.fna.gz
G900167415	s__Fibrobacter_A intestinalis	s__Fibrobacter intestinalis	3292368	0.9632937635956313	0.756875836082724	52981	GCA_900167415.1_genomic.fna.gz
G900108225	s__Thalassococcus halodurans	s__Thalassococcus halodurans	3971912	0.003105462868179011	0.0029436317481749286	206	GCA_900108225.1_genomic.fna.gz
G002797325	s__Bacillus_S sp002797325	s__Bacillus sp. FJAT-45037	3373087	1.3295695000673236	1.0702767875615706	74919	GCA_002797325.1_genomic.fna.gz
G003217235	s__Paramesorhizobium leguminum	s__Phyllobacterium leguminum	3737298	0.40823571598686237	0.3641046672797157	25487	GCA_003217235.1_genomic.fna.gz
G001715975	s__Thiodiazotropha endolucinida	s__Candidatus Thiodiazotropha endolucinida	4489993	1.336772744814049	1.4323883027859319	100267	GCA_001715975.1_genomic.fna.gz
G000336555	s__Afipia clevelandensis	s__Afipia clevelandensis	4399548	0.3162432653510742	0.3320372938086913	23243	GCA_000336555.1_genomic.fna.gz
G000526335	s__Paenarthrobacter sp000526335	s__Arthrobacter sp. 31Y	5079550	0.014457771375433432	0.017526052653337624	1227	GCA_000526335.1_genomic.fna.gz
G002563695	s__Georgenia soli	s__Georgenia soli	4273660	0.8142442371252676	0.8304474982911185	58131	GCA_002563695.1_genomic.fna.gz
G000419525	s__Leucothrix mucor	s__Leucothrix mucor	5185674	0.5465748739574298	0.6764136983373633	47349	GCA_000419525.1_genomic.fna.gz
G000162455	s__Prevotella buccae	s__Prevotella buccae	3357950	2.10575828893211	1.687486331309555	118124	GCA_000162455.1_genomic.fna.gz
G000499765	s__Methanobacterium sp000499765	s__Methanobacterium sp. MB1	2029766	0.5423136752047705	0.26269635633904076	18389	GCA_000499765.1_genomic.fna.gz
