Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900143745	s__Vibrio quintilis	s__Vibrio quintilis	5712823	1.0871495037537762	1.4394338846770476	100760	GCA_900143745.1_genomic.fna.gz
G003020125	s__Bradyrhizobium sp003020125	s__Bradyrhizobium sp. MOS003	7261081	0.004519807795511686	0.007606290880793817	532	GCA_003020125.1_genomic.fna.gz
G001262715	s__Spiroplasma_A turonicum	s__Spiroplasma turonicum	1261374	0.039785908177270665	0.01163120826748275	814	GCA_001262715.1_genomic.fna.gz
G001610895	s__Paludisphaera sp001610895	s__Planctomyces sp. SH-PL62	6784659	0.5955772135535072	0.9365215594619342	65557	GCA_001610895.1_genomic.fna.gz
G001315085	s__Bacillus_L akibai	s__Bacillus akibai	4740369	0.20145316378316963	0.2213287967684976	15493	GCA_001315085.1_genomic.fna.gz
G001592125	s__Microbacterium hominis	s__Microbacterium hominis	3502678	0.09692153503824268	0.07868141829884513	5508	GCA_001592125.1_genomic.fna.gz
G000406085	s__Dickeya sp000406085	s__Dickeya sp. CSL RW240	4386617	0.03447827705688785	0.03505314214267043	2454	GCA_000406085.2_genomic.fna.gz
G002291425	s__Gibbsiella quercinecans	s__Gibbsiella quercinecans	5548506	0.3689639636653223	0.47447320613684213	33213	GCA_002291425.1_genomic.fna.gz
G002266435	s__Bradyrhizobium sp002266435	s__Bradyrhizobium amphicarpaeae	7044517	0.004633569598908713	0.007565168292564908	530	GCA_002266435.2_genomic.fna.gz
G900215505	s__Cohaesibacter sp900215505	s__Cohaesibacter sp. ES.047	5110332	0.020079420794871673	0.023782197319835423	1665	GCA_900215505.1_genomic.fna.gz
G000429045	s__Salinarimonas rosea	s__Salinarimonas rosea	5245321	0.05734576649523812	0.06971482064491484	4880	GCA_000429045.1_genomic.fna.gz
G002863365	s__Micrococcus luteus	s__Micrococcus luteus	2518829	0.4027977884375405	0.2351459177549194	16460	GCA_002863365.1_genomic.fna.gz
G000024125	s__Robiginitalea biformata	s__Robiginitalea biformata	3530383	0.43439479094098926	0.35543329962787606	24880	GCA_000024125.1_genomic.fna.gz
G900108955	s__Flavobacterium terrigena	s__Flavobacterium terrigena	3172415	1.254680902982729	0.922518244436305	64576	GCA_900108955.1_genomic.fna.gz
G900184255	s__Khelaifiella massiliensis	s__Khelaifiella massiliensis	4215834	0.0469424285170615	0.045867042419393975	3211	GCA_900184255.1_genomic.fna.gz
G002795825	s__Mariprofundus ferrinatatus	s__Mariprofundus ferrinatatus	2301665	0.03719159885985738	0.01983986186687282	1389	GCA_002795825.1_genomic.fna.gz
G000299935	s__Oceanibaculum indicum	s__Oceanibaculum indicum	3952792	0.09037225836726004	0.08279245840874538	5795	GCA_000299935.1_genomic.fna.gz
G002561875	s__Bacillus_X simplex_D	s__Bacillus sp. AFS017274	5702307	0.0029342461534227113	0.003877919775774881	271	GCA_002561875.1_genomic.fna.gz
G000719975	s__Prauserella rugosa	s__Prauserella rugosa	5220823	0.0030793634485637472	0.0037260750793895086	261	GCA_000719975.1_genomic.fna.gz
G000612605	s__Pantoea septica	s__Pantoea septica	4548084	0.3413950498607801	0.35986315091212095	25190	GCA_000612605.1_genomic.fna.gz
G001316245	s__Vulcanisaeta sp001316245	s__Vulcanisaeta sp. JCM 14467	2443876	0.1458918899981288	0.08263461315415363	5784	GCA_001316245.1_genomic.fna.gz
G900141715	s__Arenitalea lutea	s__Arenitalea lutea	3377931	0.01638360440440139	0.01282661054768806	898	GCA_900141715.1_genomic.fna.gz
G002838065	s__Mycolicibacterium sp002838065	s__Mycobacterium sp. QGD 101	5575795	0.044679597324560234	0.05773879684342029	4042	GCA_002838065.1_genomic.fna.gz
