Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G003024745	s__Proteus mirabilis	s__Proteus mirabilis	4010155	0.03263155036645859	0.029401760124092326	2058	GCA_003024745.1_genomic.fna.gz
G001463025	s__Proteus mirabilis	s__Proteus mirabilis	4238841	0.0811178679441604	0.07725704919683936	5408	GCA_001463025.1_genomic.fna.gz
G002013325	s__Proteus mirabilis	s__Proteus mirabilis	3815621	0.2582604554150891	0.22141019045970153	15499	GCA_002013325.1_genomic.fna.gz
G003855615	s__Proteus mirabilis	s__Proteus mirabilis	4074828	0.3723918358923577	0.34094466220747993	23866	GCA_003855615.1_genomic.fna.gz
G900453405	s__Mannheimia haemolytica	s__Mannheimia haemolytica	2245561	0.6289963237600807	0.3173565212116217	22215	GCA_900453405.1_genomic.fna.gz
G001659965	s__Xanthomonas_A translucens	s__Xanthomonas translucens	4574434	0.09021545891643196	0.09272413514806982	6491	GCA_001659965.1_genomic.fna.gz
G006246325	s__Aeromonas veronii	s__Aeromonas veronii	4642121	0.044515425374015594	0.04643029540402569	3250	GCA_006246325.1_genomic.fna.gz
G004379205	s__Aeromonas veronii	s__Aeromonas veronii	4716998	0.015988266605198663	0.01694499856071599	1186	GCA_004379205.1_genomic.fna.gz
G003940285	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3917432	0.09236324223910378	0.0812971084172975	5691	GCA_003940285.1_genomic.fna.gz
G003350215	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3256685	0.46771077908955955	0.34223750055255675	23957	GCA_003350215.1_genomic.fna.gz
G000162055	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3690010	0.029045475000434515	0.024081331098997325	1686	GCA_000162055.1_genomic.fna.gz
G003939325	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3562221	0.002944001450879387	0.0023563149674015755	165	GCA_003939325.1_genomic.fna.gz
G003952785	s__Acinetobacter johnsonii	s__Acinetobacter johnsonii	3736232	0.051281761433339006	0.04304980934005364	3013	GCA_003952785.1_genomic.fna.gz
G002570025	s__Bacillus_A toyonensis	s__Bacillus toyonensis	5401295	0.026732645788237086	0.032442499319006085	2271	GCA_002570025.1_genomic.fna.gz
G002581735	s__Bacillus_A toyonensis	s__Bacillus toyonensis	5485531	0.030599029587072644	0.03771384309526822	2640	GCA_002581735.1_genomic.fna.gz
G002158195	s__Bacillus_A pseudomycoides	s__Bacillus pseudomycoides	5304417	0.17021677364248514	0.20286843334024837	14201	GCA_002158195.1_genomic.fna.gz
