Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900638355	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1733410	1.7200832383324953	0.7482130128979138	52375	GCA_900638355.1_genomic.fna.gz
G001853885	s__Mycobacteroides chelonae	s__Mycobacteroides chelonae	5201060	1.0101306896747893	1.3183900768397556	92287	GCA_001853885.1_genomic.fna.gz
G003936815	s__Pseudomonas_B luteola	s__Pseudomonas luteola	5418185	0.3685324156674761	0.5010764815024532	35075	GCA_003936815.1_genomic.fna.gz
G003470285	s__Fusobacterium_A mortiferum	s__Fusobacterium mortiferum	2564000	0.03246962836786746	0.020891510160260415	1462	GCA_003470285.1_genomic.fna.gz
G001440405	s__Bradyrhizobium valentinum	s__Bradyrhizobium valentinum	8845258	0.028070290341243198	0.06230629190220167	4361	GCA_001440405.1_genomic.fna.gz
G000346125	s__Meiothermus ruber	s__Meiothermus ruber	3029287	0.027965271723829163	0.021258565731610956	1488	GCA_000346125.2_genomic.fna.gz
G000509245	s__Porphyromonas crevioricanis	s__Porphyromonas crevioricanis	2044812	0.10898221430237476	0.05592210472798445	3915	GCA_000509245.1_genomic.fna.gz
G000531455	s__Xenorhabdus szentirmaii	s__Xenorhabdus szentirmaii	4824775	0.1215403496902992	0.14715399003718793	10301	GCA_000531455.1_genomic.fna.gz
G001658075	s__Streptococcus gallolyticus	s__Streptococcus gallolyticus	2332206	0.07397683961210365	0.04329494355154819	3031	GCA_001658075.1_genomic.fna.gz
G000165085	s__Ralstonia pickettii	s__Ralstonia pickettii	5249816	0.07452877868757556	0.0981844207474588	6873	GCA_000165085.1_genomic.fna.gz
G004800995	s__Lactobacillus_B animalis	s__Lactobacillus animalis	1867685	0.05479499362064875	0.02568141844872397	1798	GCA_004800995.1_genomic.fna.gz
G002939035	s__Ralstonia insidiosa	s__Ralstonia insidiosa	6115292	4.0336237700066455	6.189949164689246	433296	GCA_002939035.1_genomic.fna.gz
G900637815	s__Corynebacterium kutscheri	s__Corynebacterium kutscheri	2387981	0.6977486357458942	0.41812328973481766	29269	GCA_900637815.1_genomic.fna.gz
G000944995	s__Treponema phagedenis	s__Treponema phagedenis	3129609	0.017380764687083976	0.013650025338165703	956	GCA_000944995.1_genomic.fna.gz
