Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G900450865	s__Haemophilus_D pittmaniae	s__Haemophilus pittmaniae	2244325	0.4413140768751742	0.21179724277444767	14826	GCA_900450865.1_genomic.fna.gz
G003363235	s__Bacteroides ovatus	s__Bacteroides ovatus	7229343	1.8606909333207904	2.8764699821370767	201353	GCA_003363235.1_genomic.fna.gz
G003812825	s__Fusobacterium_C necrophorum	s__Fusobacterium necrophorum	2678402	1.0625453917323011	0.6085692815985689	42600	GCA_003812825.1_genomic.fna.gz
G900635665	s__Serratia_B rubidaea	s__Serratia rubidaea	5172175	0.3307442435345348	0.36580722526269827	25607	GCA_900635665.1_genomic.fna.gz
G000333915	s__Bacillus_E coagulans_A	s__Bacillus coagulans	3424110	0.0456998065319825	0.03346176491421933	2342	GCA_000333915.1_genomic.fna.gz
G003326045	s__Metamycoplasma hominis	s__Mycoplasma hominis	646177	0.08672384233865077	0.011983309635945174	839	GCA_003326045.1_genomic.fna.gz
G000185325	s__Aliarcobacter butzleri	s__Arcobacter butzleri	2302726	0.16036090077549225	0.07896370655788848	5527	GCA_000185325.1_genomic.fna.gz
G004115905	s__Clostridium_G tetani	s__Clostridium tetani	2895876	2.3190732883920777	1.4360885167486344	100526	GCA_004115905.1_genomic.fna.gz
G000691185	s__Bacillus subtilis	s__Bacillus subtilis	4263792	0.013081019458642694	0.01192681207505334	835	GCA_000691185.1_genomic.fna.gz
G002092335	s__Leuconostoc mesenteroides	s__Leuconostoc mesenteroides	1627515	0.03722864700751945	0.0129565396140454	907	GCA_002092335.1_genomic.fna.gz
G002993745	s__Bacillus halotolerans	s__Bacillus halotolerans	4094877	0.06895791201881166	0.06038259014388898	4227	GCA_002993745.1_genomic.fna.gz
G002138565	s__Campylobacter lanienae	s__Campylobacter lanienae	1627553	0.07477814534905915	0.026025351494290545	1822	GCA_002138565.1_genomic.fna.gz
G001954145	s__Mycolicibacterium fortuitum	s__Mycolicibacterium fortuitum	6642199	0.2436900316899122	0.34612775184702377	24229	GCA_001954145.1_genomic.fna.gz
G003181395	s__Clostridium_P perfringens	s__Clostridium perfringens	3411304	0.05130730249311959	0.03742711742389054	2620	GCA_003181395.1_genomic.fna.gz
G001698685	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1856360	0.022073034915554308	0.008762156915059452	613	GCA_001698685.1_genomic.fna.gz
G003463425	s__Bifidobacterium pseudocatenulatum	s__Bifidobacterium pseudocatenulatum	2287849	0.006442140905317272	0.0031516962223381135	221	GCA_003463425.1_genomic.fna.gz
G003693285	s__Clostridium_B ljungdahlii	s__Clostridium autoethanogenum	4606218	0.00339635158946294	0.0033453680458209196	234	GCA_003693285.1_genomic.fna.gz
G004795285	s__Rodentibacter pneumotropicus	s__Rodentibacter pneumotropicus	2435126	0.8174408475958499	0.42566167296718815	29796	GCA_004795285.1_genomic.fna.gz
G900573925	s__Campylobacter_A showae_A	s__Campylobacter showae	2308370	0.23120310993435905	0.11412633408226175	7989	GCA_900573925.1_genomic.fna.gz
G003697185	s__Methylobacterium brachiatum	s__Methylobacterium brachiatum	6339577	0.9472738902863563	1.284170302764776	89892	GCA_003697185.1_genomic.fna.gz
G002938905	s__Acinetobacter indicus	s__Acinetobacter indicus	3029820	0.008380501460236044	0.005429672165317731	380	GCA_002938905.1_genomic.fna.gz
G004364065	s__Halanaerobium congolense	s__Halanaerobium congolense	2768198	0.03431139422699013	0.020310578363512504	1422	GCA_004364065.1_genomic.fna.gz
G003467855	s__Clostridium_M bolteae	s__[Clostridium] bolteae	6793441	0.38920707640610924	0.5654019605026133	39578	GCA_003467855.1_genomic.fna.gz
G005886775	s__Pseudoalteromonas ruthenica	s__Pseudoalteromonas ruthenica	3930766	0.07789963172748537	0.06547859765983018	4584	GCA_005886775.1_genomic.fna.gz
G003968655	s__Chlorobium phaeovibrioides	s__Chlorobium phaeovibrioides	2094018	0.1686539497628497	0.07552029909341444	5286	GCA_003968655.1_genomic.fna.gz
G003857515	s__Burkholderia cepacia	s__Burkholderia cepacia	8388287	0.03411548337491648	0.061194386406100774	4284	GCA_003857515.1_genomic.fna.gz
G003026595	s__Photobacterium phosphoreum	s__Photobacterium phosphoreum	4823203	0.6859934534111043	0.7075258086455297	49527	GCA_003026595.1_genomic.fna.gz
G003391275	s__Acetobacter oryzifermentans	s__Acetobacter pomorum	3153219	0.07450021628494262	0.050234078809033994	3516	GCA_003391275.1_genomic.fna.gz
G900638345	s__Neisseria_B animaloris	s__Neisseria animaloris	2283939	0.28804135484270427	0.1406779787384221	9847	GCA_900638345.1_genomic.fna.gz
G004358895	s__Kocuria rosea	s__Kocuria rosea	3953419	0.23055988840684558	0.19491415193788378	13644	GCA_004358895.1_genomic.fna.gz
G003457795	s__Roseburia inulinivorans	s__Roseburia inulinivorans	3752500	0.4428693987614495	0.35537195195477045	24876	GCA_003457795.1_genomic.fna.gz
G002853215	s__Klebsiella_A oxytoca	s__Klebsiella oxytoca	6620721	11.135324259586168	15.765034639134415	1103552	GCA_002853215.1_genomic.fna.gz
G003465585	s__Lachnospira eligens_B	s__[Eubacterium] eligens	2914611	0.2642418440392804	0.16469065823543033	11528	GCA_003465585.1_genomic.fna.gz
G900065035	s__Streptococcus suis	s__Streptococcus suis	2072356	1.3318231069119153	0.59019793089991	41314	GCA_900065035.1_genomic.fna.gz
G003391645	s__Staphylococcus felis	s__Staphylococcus felis	2409877	0.06191260204276657	0.031905143904448645	2233	GCA_003391645.1_genomic.fna.gz
G003986695	s__Enterobacter mori	s__Enterobacter mori	5276730	0.7410704176486667	0.8362018504053736	58534	GCA_003986695.1_genomic.fna.gz
G002561745	s__Bacillus_A thuringiensis_J	s__Bacillus cereus	5883385	0.09226170150421165	0.1160741475315509	8125	GCA_002561745.1_genomic.fna.gz
G003326715	s__Thalassospira xiamenensis	s__Thalassospira xiamenensis	4654423	0.09785393695694204	0.09739371401402525	6818	GCA_003326715.1_genomic.fna.gz
G003330785	s__Paraburkholderia graminis	s__Paraburkholderia graminis	7508450	1.155381436430325	1.8550791863553173	129856	GCA_003330785.1_genomic.fna.gz
G006493295	s__Lactobacillus_G micheneri	s__Lactobacillus micheneri	1441799	0.030374124765126177	0.009364730134667714	656	GCA_006493295.1_genomic.fna.gz
G002107925	s__Bifidobacterium adolescentis	s__Bifidobacterium adolescentis	2212742	0.2552867324854965	0.12079412108309748	8456	GCA_002107925.1_genomic.fna.gz
G001569215	s__Leptospira noguchii	s__Leptospira noguchii	4687065	0.055975003790276215	0.05610245708956345	3927	GCA_001569215.1_genomic.fna.gz
G004919485	s__Aeromonas schubertii	s__Aeromonas schubertii	4350713	0.4001837781344181	0.3723117047510744	26062	GCA_004919485.1_genomic.fna.gz
G002763815	s__Fusobacterium periodonticum_C	s__Fusobacterium pseudoperiodonticum	2273832	0.36994395959967574	0.1798792586194223	12592	GCA_002763815.1_genomic.fna.gz
G005924195	s__Acinetobacter fasciculus	s__Acinetobacter lwoffii	3615619	0.26848722071329156	0.20758360670752904	14531	GCA_005924195.1_genomic.fna.gz
