Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G000830375	s__Lactobacillus_G kunkeei_A	s__Lactobacillus kunkeei	1551609	0.04181313107687024	0.016328158188391263	1143	GCA_000830375.1_genomic.fna.gz
G003989305	s__Corynebacterium pseudodiphtheriticum	s__Corynebacterium pseudodiphtheriticum	2328440	0.005639869289282042	0.00330503687583626	231	GCA_003989305.1_genomic.fna.gz
G900451705	s__Klebsiella pneumoniae	s__Klebsiella pneumoniae	5484860	0.010037053442363766	0.013855238392368038	970	GCA_900451705.1_genomic.fna.gz
G001020815	s__Pseudomonas_E protegens	s__Pseudomonas protegens	6678920	0.07137583201429158	0.11997745480243927	8398	GCA_001020815.1_genomic.fna.gz
G003434125	s__Faecalibacterium prausnitzii_C	s__Faecalibacterium prausnitzii	2969799	0.71052715954592	0.5310677870532	37175	GCA_003434125.1_genomic.fna.gz
G004000745	s__Paenibacillus_A barengoltzii	s__Paenibacillus barengoltzii	4930555	0.006972910693496659	0.0086527096330903	606	GCA_004000745.1_genomic.fna.gz
G900149405	s__Chlamydia suis	s__Chlamydia suis	1099448	0.34941103460328	0.09668375941845764	6768	GCA_900149405.1_genomic.fna.gz
G003665615	s__Citrobacter freundii	s__Citrobacter freundii	5064975	0.024263948759330432	0.030930077311059005	2165	GCA_003665615.1_genomic.fna.gz
G004328965	s__Chryseobacterium gleum	s__Chryseobacterium gleum	4715692	0.00555281208228653	0.006590230846326999	461	GCA_004328965.1_genomic.fna.gz
G003605125	s__Shewanella algidipiscicola	s__Shewanella algidipiscicola	4203325	0.004559603566651212	0.0048234999109427095	338	GCA_003605125.1_genomic.fna.gz
G900038905	s__Staphylococcus aureus	s__Staphylococcus aureus	2826731	0.5027285124828221	0.3576516378025546	25036	GCA_900038905.1_genomic.fna.gz
G900027585	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2092472	0.0019680375632706057	0.0010364187421592883	73	GCA_900027585.1_genomic.fna.gz
G001632075	s__Prochlorococcus_C marinus_B	s__Prochlorococcus marinus	2500454	0.000346338382148252	0.00021795242857297755	15	GCA_001632075.1_genomic.fna.gz
G900608515	s__Burkholderia gladioli	s__Burkholderia gladioli	8465675	0.0351676445846677	0.07492850934955517	5245	GCA_900608515.1_genomic.fna.gz
G003697185	s__Methylobacterium brachiatum	s__Methylobacterium brachiatum	6339577	0.004125300820457791	0.006582003722526118	461	GCA_003697185.1_genomic.fna.gz
G003464725	s__Bacteroides_B dorei	s__Bacteroides dorei	5606424	0.03379145648117663	0.04767987078200577	3338	GCA_003464725.1_genomic.fna.gz
G003968655	s__Chlorobium phaeovibrioides	s__Chlorobium phaeovibrioides	2094018	0.021593121245729246	0.011379889712737765	797	GCA_003968655.1_genomic.fna.gz
G003729985	s__Chryseobacterium cucumeris	s__Chryseobacterium cucumeris	5111118	0.005731536481293904	0.007372744569625285	516	GCA_003729985.1_genomic.fna.gz
G002269405	s__Hamiltonella defensa	s__Candidatus Hamiltonella defensa	2276301	0.41081642061646234	0.2353529806280423	16475	GCA_002269405.1_genomic.fna.gz
G002570115	s__Bacillus_A toyonensis	s__Bacillus toyonensis	6080795	0.0006130832157250443	0.0009382574216903346	66	GCA_002570115.1_genomic.fna.gz
G003788965	s__Bifidobacterium mongoliense	s__Bifidobacterium mongoliense	2132511	0.0014226461880564598	0.0007635375566526145	53	GCA_003788965.1_genomic.fna.gz
