Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G002218765	s__Lactobacillus crispatus	s__Lactobacillus crispatus	2013867	0.008337914099024249	0.00448957045258921	314	GCA_002218765.1_genomic.fna.gz
G000091765	s__Lactobacillus crispatus	s__Lactobacillus crispatus	2043161	0.06364895507035742	0.03477046170059492	2434	GCA_000091765.1_genomic.fna.gz
G001567095	s__Lactobacillus crispatus	s__Lactobacillus crispatus	2048451	0.18242352156753694	0.09991323119021528	6994	GCA_001567095.1_genomic.fna.gz
G002218735	s__Lactobacillus crispatus	s__Lactobacillus crispatus	1954348	0.5503367865723113	0.2875722871467576	20130	GCA_002218735.1_genomic.fna.gz
G002218965	s__Lactobacillus crispatus	s__Lactobacillus crispatus	2052874	0.16952383113562192	0.09304855692095992	6513	GCA_002218965.1_genomic.fna.gz
G000167355	s__Desulfuromonas acetoxidans	s__Desulfuromonas acetoxidans	3828328	0.02714976486843854	0.027790208276857423	1945	GCA_000167355.1_genomic.fna.gz
G900110345	s__Amphibacillus_B marinus	s__Amphibacillus marinus	3468523	0.1421326551392869	0.13181202646366397	9227	GCA_900110345.1_genomic.fna.gz
G002078255	s__Staphylococcus xylosus	s__Staphylococcus xylosus	2910005	0.14601170395198074	0.11360514322274282	7952	GCA_002078255.1_genomic.fna.gz
G000709415	s__Staphylococcus xylosus	s__Staphylococcus xylosus	2757557	0.01495594198860033	0.011026936137546137	772	GCA_000709415.1_genomic.fna.gz
G002836825	s__Staphylococcus xylosus	s__Staphylococcus xylosus	2787415	0.018719890588429815	0.013951520065643862	977	GCA_002836825.1_genomic.fna.gz
G900098615	s__Staphylococcus xylosus	s__Staphylococcus xylosus	2794368	0.07287366402491657	0.05444660372399956	3811	GCA_900098615.1_genomic.fna.gz
G001623425	s__Lactobacillus_G collinoides	s__Lactobacillus collinoides	3707616	0.0007107982717708254	0.0007046244356839652	49	GCA_001623425.1_genomic.fna.gz
G000687555	s__Hungatella aerotolerans	s__[Clostridium] aerotolerans	4732373	0.2831070727216199	0.35821706917268975	25075	GCA_000687555.1_genomic.fna.gz
G001044235	s__Mycolicibacterium chlorophenolicum	s__Mycolicibacterium chlorophenolicum	7379520	0.05483916062345642	0.10820205325065928	7574	GCA_001044235.1_genomic.fna.gz
G001631445	s__Enterobacter cloacae_L	s__Enterobacter genomosp. O	5100539	0.025936955036608606	0.035371351248294144	2476	GCA_001631445.1_genomic.fna.gz
G001022965	s__Enterobacter cloacae_L	s__Enterobacter genomosp. O	5115149	0.08313569698701373	0.11370051195275935	7959	GCA_001022965.1_genomic.fna.gz
G001518635	s__Enterobacter cloacae_L	s__Enterobacter genomosp. O	5005331	0.3658564638389517	0.48962109858705427	34273	GCA_001518635.1_genomic.fna.gz
G000185185	s__Helicobacter pylori	s__Helicobacter pylori	1675918	0.017096421539706197	0.007660807898272622	536	GCA_000185185.1_genomic.fna.gz
G000148855	s__Helicobacter pylori	s__Helicobacter pylori	1658051	0.13547322888045907	0.0600575976338479	4204	GCA_000148855.1_genomic.fna.gz
G000685665	s__Helicobacter pylori	s__Helicobacter pylori	1604233	0.5720092392876293	0.24535057417356568	17175	GCA_000685665.1_genomic.fna.gz
G001433495	s__Helicobacter pylori	s__Helicobacter pylori	1667159	0.22663983346134262	0.1010252311506049	7072	GCA_001433495.1_genomic.fna.gz
G002759115	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	5399156	0.007636833038475734	0.011024420269704734	772	GCA_002759115.1_genomic.fna.gz
G000265745	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	4803726	0.04229615129099181	0.05432449123216553	3803	GCA_000265745.1_genomic.fna.gz
G001640215	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	5003594	6.0729614175601485	8.124547352246285	568718	GCA_001640215.1_genomic.fna.gz
G001564415	s__Xanthomonas phaseoli	s__Xanthomonas phaseoli	5036843	4.502022144617761	6.062931059953174	424405	GCA_001564415.1_genomic.fna.gz
G001042655	s__Bifidobacterium vaginale	s__Gardnerella vaginalis	1667406	0.052174392020057	0.023260301839269047	1628	GCA_001042655.1_genomic.fna.gz
G000263535	s__Bifidobacterium vaginale	s__Gardnerella vaginalis	1672968	0.0025744082386317214	0.0011515469244168435	81	GCA_000263535.1_genomic.fna.gz
G000213955	s__Bifidobacterium vaginale	s__Gardnerella vaginalis	1726519	0.7174581682102742	0.331195582534512	23184	GCA_000213955.1_genomic.fna.gz
G002861965	s__Bifidobacterium vaginale	s__Gardnerella vaginalis	1675681	0.15238272093352254	0.06827216239593648	4779	GCA_002861965.1_genomic.fna.gz
G002884835	s__Bifidobacterium vaginale	s__Gardnerella vaginalis	1674824	0.7219721945592066	0.3233003960503989	22631	GCA_002884835.1_genomic.fna.gz
G900324475	s__Enterobacter bugandensis	s__Enterobacter bugandensis	4717613	0.5274102119244631	0.6652539091183941	46568	GCA_900324475.1_genomic.fna.gz
G002785865	s__Enterobacter bugandensis	s__Enterobacter bugandensis	4789183	0.05171220331024395	0.06621723826807674	4635	GCA_002785865.1_genomic.fna.gz
G001023305	s__Enterobacter bugandensis	s__Enterobacter bugandensis	4796531	0.15848412595289452	0.20324955988767082	14227	GCA_001023305.1_genomic.fna.gz
G001518395	s__Enterobacter bugandensis	s__Enterobacter bugandensis	4619341	0.6391330767586035	0.7893832488700934	55257	GCA_001518395.1_genomic.fna.gz
G002890765	s__Enterobacter bugandensis	s__Enterobacter bugandensis	4931846	0.21422591590877121	0.2824867645455885	19774	GCA_002890765.1_genomic.fna.gz
G000967115	s__Clostridium_G tetani	s__Clostridium tetani	2865850	0.0012831787740158916	0.0009832347328670252	69	GCA_000967115.1_genomic.fna.gz
G000762325	s__Clostridium_G tetani	s__Clostridium tetani	2890535	0.38798535509286314	0.29985421260858125	20990	GCA_000762325.1_genomic.fna.gz
G003013635	s__Clostridium_G tetani	s__Clostridium tetani	2811348	0.002669281005144192	0.002006436837873324	140	GCA_003013635.1_genomic.fna.gz
G000743715	s__Palleronia sp000743715	s__Palleronia rufa	3849771	0.36490990640887294	0.3756099941730044	26293	GCA_000743715.1_genomic.fna.gz
