Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G000521605	s__Mannheimia sp000521605	s__Mannheimia sp. USDA-ARS-USMARC-1261	2393449	0.3564352119588433	0.17858222805301543	12501	GCA_000521605.1_genomic.fna.gz
G900198605	s__Helicobacter_D mesocricetorum	s__Helicobacter mesocricetorum	1831101	5.190463818925161	1.989536567912296	139268	GCA_900198605.1_genomic.fna.gz
G000337515	s__Halovivax asiaticus	s__Halovivax asiaticus	3238452	0.7753866935193744	0.5256410403815718	36795	GCA_000337515.1_genomic.fna.gz
G000332215	s__Pseudanabaena biceps	s__Pseudanabaena biceps	5476421	0.02962212802640622	0.03395834684548797	2377	GCA_000332215.1_genomic.fna.gz
G900129965	s__Clostridium_AF grantii	s__Clostridium grantii	4474501	0.01640401318390057	0.01536484477845302	1076	GCA_900129965.1_genomic.fna.gz
G001642835	s__Tamlana_A agarivorans	s__Tamlana agarivorans	3834113	0.15441520075006396	0.12393341497998821	8675	GCA_001642835.1_genomic.fna.gz
G000964755	s__Ehrlichia muris	s__Ehrlichia muris	1148958	0.024720635294819025	0.005945621233294373	416	GCA_000964755.1_genomic.fna.gz
G001425885	s__Ensifer adhaerens_A	s__Ensifer sp. Root1252	7722068	0.3956182936495361	0.6395042649409934	44765	GCA_001425885.1_genomic.fna.gz
G000757405	s__Pantoea stewartii	s__Pantoea stewartii	4681235	0.09283162560472819	0.09096825357041839	6368	GCA_000757405.1_genomic.fna.gz
G001436275	s__Lactobacillus_O oeni	s__Lactobacillus oeni	2117633	0.6674574452798359	0.29587463560010174	20711	GCA_001436275.1_genomic.fna.gz
G000183745	s__Oceanithermus profundus	s__Oceanithermus profundus	2439291	0.41980561722853793	0.2143607741833065	15005	GCA_000183745.1_genomic.fna.gz
G900078305	s__Corynebacterium bouchesdurhonense	s__Corynebacterium bouchesdurhonense	2255644	1.2835969953563746	0.6060838440973682	42426	GCA_900078305.2_genomic.fna.gz
G001660175	s__Escherichia sp001660175	s__Escherichia sp. B1147	4570719	4.17781783700865	3.997306780595629	279811	GCA_001660175.1_genomic.fna.gz
G000620785	s__Pseudonocardia acaciae	s__Pseudonocardia acaciae	9931328	0.6329523058568862	1.3158663161692998	92111	GCA_000620785.1_genomic.fna.gz
G000169155	s__Thermosinus carboxydivorans	s__Thermosinus carboxydivorans	2889774	0.0011924843820020304	0.0007213566456095789	50	GCA_000169155.1_genomic.fna.gz
G000455205	s__Mycobacterium sp000455205	s__Mycobacterium sp. UM_CSW	6394793	0.07572106290612937	0.10136234528598902	7095	GCA_000455205.1_genomic.fna.gz
G900104265	s__Pseudomonas_E guguanensis	s__Pseudomonas guguanensis	5084171	0.01780177651790105	0.018945974646990014	1326	GCA_900104265.1_genomic.fna.gz
G000176735	s__Neisseria polysaccharea	s__Neisseria polysaccharea	2030958	0.030550199470413444	0.012988184540956366	909	GCA_000176735.1_genomic.fna.gz
G002020145	s__Thioclava sediminum	s__Thioclava sp. DLFJ4-1	4361606	0.4479795145761891	0.40901387841796655	28631	GCA_002020145.1_genomic.fna.gz
G001570745	s__Alicyclobacillus mali	s__Alicyclobacillus mali	2786970	0.10455128098760146	0.06099512282340612	4270	GCA_001570745.1_genomic.fna.gz
G000735585	s__Devosia sp000735585	s__Devosia sp. LC5	4202858	0.4998254446265017	0.439740571006322	30782	GCA_000735585.1_genomic.fna.gz
G001434835	s__Lactobacillus_G acidifarinae	s__Lactobacillus acidifarinae	2918319	4.7549376231226255	2.9047652794161176	203334	GCA_001434835.1_genomic.fna.gz
G002198685	s__R-RK-3 sp002198715	s__Rhodomicrobium vannielii	5778630	0.25496350758753095	0.308415624244428	21589	GCA_002198685.1_genomic.fna.gz
G000017585	s__Campylobacter_B hominis	s__Campylobacter hominis	1714951	2.541100801478186	0.9122357059685461	63856	GCA_000017585.1_genomic.fna.gz
G001645165	s__Gluconobacter cerinus	s__Gluconobacter cerinus	3661689	0.09204478772681422	0.07055277723249195	4939	GCA_001645165.1_genomic.fna.gz
G001590795	s__Bradyrhizobium sp001590795	s__Bradyrhizobium sp. AT1	7534837	0.4959540645464753	0.7822557671118259	54758	GCA_001590795.1_genomic.fna.gz
G002105555	s__Paracoccus contaminans	s__Paracoccus contaminans	3033494	0.019438065582575468	0.012343253301033065	864	GCA_002105555.1_genomic.fna.gz
G000308795	s__Nocardia thailandica	s__Nocardia thailandica	6821826	0.2806843451070795	0.400822679501995	28058	GCA_000308795.1_genomic.fna.gz
G000421825	s__Humibacter albus	s__Humibacter albus	3693075	0.3860939525149428	0.29847955242366453	20894	GCA_000421825.1_genomic.fna.gz
G001278055	s__Desulfuromonas_B soudanensis	s__Desulfuromonas soudanensis	3958620	6.10345173520032	5.057696760229883	354039	GCA_001278055.1_genomic.fna.gz
G001735715	s__UBA3537 sp001735715	s__Formosa sp. Hel3_A1_48	2016454	0.2874873630958658	0.12135021124738987	8495	GCA_001735715.1_genomic.fna.gz
G000940845	s__Propionibacterium freudenreichii	s__Propionibacterium freudenreichii	2649166	2.2326434564225632	1.238117905321145	86668	GCA_000940845.1_genomic.fna.gz
G001989575	s__Auricoccus indicus	s__Auricoccus indicus	1745789	0.07655371468332732	0.02797637753181133	1958	GCA_001989575.1_genomic.fna.gz
G000622365	s__Sulfitobacter noctilucae	s__Sulfitobacter noctilucae	3914541	0.0040422137866609744	0.003312329886486273	232	GCA_000622365.1_genomic.fna.gz
G000337695	s__Natronococcus jeotgali	s__Natronococcus jeotgali	4496185	0.30316936128841226	0.2853401855106749	19974	GCA_000337695.1_genomic.fna.gz
G002215075	s__Brevibacillus formosus	s__Brevibacillus formosus	6437015	0.15618145946438244	0.21044928572756452	14731	GCA_002215075.1_genomic.fna.gz
G900162695	s__Virgibacillus_D siamensis	s__Virgibacillus siamensis	3917958	0.09406801651238877	0.0771498739619416	5400	GCA_900162695.1_genomic.fna.gz
G000424985	s__Arenibacter latericius	s__Arenibacter latericius	4480165	0.4689182588931448	0.43976899873676334	30784	GCA_000424985.1_genomic.fna.gz
G003217095	s__Pararhizobium sp003217095	s__Rhizobium sp. PP-CC-3A-592	5123747	0.34652341370050116	0.37166675785396736	26017	GCA_003217095.1_genomic.fna.gz
G003217615	s__Methylobacterium sp003217615	s__Methylobacterium sp. GV094	5112672	0.33736541034507334	0.3610621323659175	25274	GCA_003217615.1_genomic.fna.gz
G000368445	s__Acinetobacter sp000369525	s__Acinetobacter sp. CIP 56.2	4367771	0.4480275394779741	0.40963591696929696	28675	GCA_000368445.1_genomic.fna.gz
G000470805	s__Chlamydophila pecorum	s__Chlamydia pecorum	1106534	0.3336002150378	0.07727242520212689	5409	GCA_000470805.1_genomic.fna.gz
G001048575	s__Vibrio crassostreae	s__Vibrio crassostreae	5479820	0.15694074346213882	0.18002609318488946	12602	GCA_001048575.1_genomic.fna.gz
G900156915	s__Sediminibacillus_A massiliensis	s__Sediminibacillus massiliensis	4347501	0.4015227286713721	0.3654124016630449	25579	GCA_900156915.1_genomic.fna.gz
G000974785	s__Flavihumibacter petaseus	s__Flavihumibacter petaseus	5693518	0.08895833336511297	0.10602317214115724	7422	GCA_000974785.1_genomic.fna.gz
G000829415	s__Pseudomonas_E sp000829415	s__Pseudomonas sp. StFLB209	6332373	0.21291144945528945	0.2822272623750554	19756	GCA_000829415.1_genomic.fna.gz
G002000505	s__Rodentibacter pneumotropicus	s__Rodentibacter pneumotropicus	2319829	0.22522476427252586	0.10937185356544155	7656	GCA_002000505.1_genomic.fna.gz
G900108295	s__Sphingopyxis sp900108295	s__Sphingopyxis sp. YR583	4312099	0.9917141332292563	0.8951765228174338	62662	GCA_900108295.1_genomic.fna.gz
G000429825	s__Cohnella thermotolerans	s__Cohnella thermotolerans	5051029	0.08284869470658844	0.08759896813981266	6132	GCA_000429825.1_genomic.fna.gz
G000340885	s__Clostridium saccharoperbutylacetonicum	s__Clostridium saccharoperbutylacetonicum	6666445	0.30290310584262187	0.42269925745282466	29589	GCA_000340885.1_genomic.fna.gz
G900143545	s__Yoonia sp900143545	s__Loktanella sp. Alg231-35	3914133	0.06833078884596795	0.055986777525915965	3919	GCA_900143545.1_genomic.fna.gz
G002844575	s__Bacillus_AJ camelliae	s__Bacillus camelliae	4956718	0.04037538156556824	0.04189327467529929	2933	GCA_002844575.1_genomic.fna.gz
G001642575	s__Xanthomonas floridensis	s__Xanthomonas floridensis	5254357	4.76392103884659	5.239834735885188	366788	GCA_001642575.1_genomic.fna.gz
G900184255	s__Khelaifiella massiliensis	s__Khelaifiella massiliensis	4215834	3.061664148462774	2.7019325846095494	189135	GCA_900184255.1_genomic.fna.gz
