Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G001634345	s__Aeromonas veronii	s__Aeromonas veronii	4584103	0.045631118077330377	0.049832022161814746	3488	GCA_001634345.1_genomic.fna.gz
G000204115	s__Aeromonas veronii	s__Aeromonas veronii	4551783	0.32683706612814484	0.35440993393840986	24809	GCA_000204115.1_genomic.fna.gz
G001593245	s__Aeromonas veronii	s__Aeromonas veronii	4923009	0.029826807461698503	0.034980856111925605	2449	GCA_001593245.1_genomic.fna.gz
G001634325	s__Aeromonas veronii	s__Aeromonas veronii	4955058	0.012699891451748019	0.014991385943135505	1049	GCA_001634325.1_genomic.fna.gz
G002803945	s__Aeromonas veronii	s__Aeromonas veronii	4773186	0.6322714083960413	0.7189603415406364	50327	GCA_002803945.1_genomic.fna.gz
G002952315	s__Erwinia pyrifoliae	s__Erwinia pyrifoliae	4075681	0.45448014153187816	0.4412737871120026	30889	GCA_002952315.1_genomic.fna.gz
G000493175	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	4926572	4.02052317097101	4.718679030520949	330308	GCA_000493175.1_genomic.fna.gz
G000807415	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	5276896	0.0097338071979396	0.012236418113943562	857	GCA_000807415.4_genomic.fna.gz
G002211685	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	5051588	0.05175806084870621	0.062287220778673706	4360	GCA_002211685.1_genomic.fna.gz
G000492895	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	5078889	7.492664005634121	9.065630476891636	634594	GCA_000492895.1_genomic.fna.gz
G001729805	s__Enterobacter nimipressuralis	s__Enterobacter roggenkampii	4899997	0.006530464911513259	0.0076231233653373	534	GCA_001729805.1_genomic.fna.gz
G002214385	s__Thermococcus gorgonarius	s__Thermococcus gorgonarius	1674122	0.003190659743913128	0.001272508318731314	89	GCA_002214385.1_genomic.fna.gz
G000400485	s__Agrococcus pavilionensis	s__Agrococcus pavilionensis	2878403	7.956412355984504	5.455843641095628	381909	GCA_000400485.1_genomic.fna.gz
G000308795	s__Nocardia thailandica	s__Nocardia thailandica	6821826	0.1816004223965692	0.29512807551084275	20659	GCA_000308795.1_genomic.fna.gz
G001971665	s__Methylobacterium extorquens	s__Methylorubrum extorquens	5654313	0.0029952141541632225	0.004034602548936991	282	GCA_001971665.1_genomic.fna.gz
G000021845	s__Methylobacterium extorquens	s__Methylorubrum extorquens	6180732	0.0014296962722208596	0.002105119388233112	147	GCA_000021845.1_genomic.fna.gz
G000083545	s__Methylobacterium extorquens	s__Methylorubrum extorquens	6123851	0.11223338829734456	0.16373432103559304	11461	GCA_000083545.1_genomic.fna.gz
G900234795	s__Methylobacterium extorquens	s__Methylorubrum extorquens	5715512	0.010537620307817965	0.01434797860779541	1004	GCA_900234795.1_genomic.fna.gz
G000018845	s__Methylobacterium extorquens	s__Methylorubrum extorquens	5471154	0.004450457044416347	0.005800648994662951	406	GCA_000018845.1_genomic.fna.gz
G001481685	s__Ignicoccus islandicus	s__Ignicoccus islandicus	1394664	0.002972068172058817	0.000987464272165301	69	GCA_001481685.1_genomic.fna.gz
G002192595	s__Yersinia ruckeri	s__Yersinia ruckeri	3856634	0.0033240597491015498	0.0030540087763563806	214	GCA_002192595.1_genomic.fna.gz
G000834255	s__Yersinia ruckeri	s__Yersinia ruckeri	3605216	0.6407731817129011	0.5503369217363232	38524	GCA_000834255.1_genomic.fna.gz
G900168365	s__Clostridium chauvoei	s__Clostridium chauvoei	2887451	0.0015206284812089186	0.0010459978144375253	73	GCA_900168365.1_genomic.fna.gz
G000407365	s__Enterococcus_C asini	s__Enterococcus asini	2572706	0.01346034344741087	0.008249722386125622	577	GCA_000407365.1_genomic.fna.gz
G000012845	s__Parabacteroides distasonis	s__Parabacteroides distasonis	4811379	0.1404757374000899	0.16101410503146707	11271	GCA_000012845.1_genomic.fna.gz
G000307435	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5338538	0.0030495013300927297	0.0038783249943665195	271	GCA_000307435.1_genomic.fna.gz
G000307455	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5063281	0.003505859186814851	0.004228823240625154	296	GCA_000307455.1_genomic.fna.gz
G002160095	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5132535	0.14586551868378148	0.17835183986837072	12485	GCA_002160095.1_genomic.fna.gz
G001405775	s__Parabacteroides distasonis	s__Parabacteroides distasonis	5029189	0.27955294907607575	0.33493078602530013	23445	GCA_001405775.1_genomic.fna.gz
G000725725	s__Streptomyces xanthophaeus	s__Streptomyces xanthophaeus	8568408	0.012492233821841836	0.025499594608615717	1785	GCA_000725725.1_genomic.fna.gz
G001729765	s__Enterobacter kobei	s__Enterobacter kobei	4927478	0.021407736848227873	0.02512976834517032	1759	GCA_001729765.1_genomic.fna.gz
G000952375	s__Enterobacter kobei	s__Enterobacter kobei	4659452	0.002891136493300429	0.0032091976931069802	225	GCA_000952375.1_genomic.fna.gz
G000374025	s__Spirosoma panaciterrae	s__Spirosoma panaciterrae	8129284	0.49688132736234736	0.9622723481150404	67359	GCA_000374025.1_genomic.fna.gz
G001549695	s__Bradyrhizobium diazoefficiens	s__Bradyrhizobium diazoefficiens	10475157	0.06573410439303878	0.16403794673937686	11483	GCA_001549695.1_genomic.fna.gz
G001642675	s__Bradyrhizobium diazoefficiens	s__Bradyrhizobium diazoefficiens	9106064	0.010404443849782022	0.022570573935950838	1580	GCA_001642675.1_genomic.fna.gz
G001908315	s__Bradyrhizobium diazoefficiens	s__Bradyrhizobium diazoefficiens	9136536	0.03487646711937289	0.07591141540573784	5314	GCA_001908315.1_genomic.fna.gz
G001405675	s__Hungatella effluvii	s__Hungatella hathewayi	6979496	0.07530674285712045	0.12521344380564398	8765	GCA_001405675.1_genomic.fna.gz
G000371445	s__Hungatella effluvii	s__Hungatella hathewayi	6873024	0.2863818292133479	0.46890660771848075	32823	GCA_000371445.1_genomic.fna.gz
G000471805	s__Hungatella effluvii	s__Hungatella hathewayi	7234945	0.004840366012912593	0.008342696995054964	584	GCA_000471805.1_genomic.fna.gz
G000949635	s__Brocadia sinica	s__Candidatus Brocadia sinica	4077002	0.04524047194021464	0.04394010443931837	3076	GCA_000949635.1_genomic.fna.gz
G001656115	s__Moraxella catarrhalis	s__Moraxella catarrhalis	1905073	0.06783481657454804	0.030786286776339596	2155	GCA_001656115.1_genomic.fna.gz
G001656475	s__Moraxella catarrhalis	s__Moraxella catarrhalis	1884914	0.0004310498697666373	0.00019355843051005762	14	GCA_001656475.1_genomic.fna.gz
G000092265	s__Moraxella catarrhalis	s__Moraxella catarrhalis	1863286	0.002182216812100423	0.0009686579602365817	68	GCA_000092265.1_genomic.fna.gz
G001656095	s__Moraxella catarrhalis	s__Moraxella catarrhalis	1953951	0.03166379963588116	0.014739058101404199	1032	GCA_001656095.1_genomic.fna.gz
G001679075	s__Moraxella catarrhalis	s__Moraxella catarrhalis	1900421	0.004079697460596695	0.00184701665911901	129	GCA_001679075.1_genomic.fna.gz
G000236085	s__Spiroplasma melliferum	s__Spiroplasma melliferum	1297943	0.1031583990611543	0.031897250403032595	2233	GCA_000236085.3_genomic.fna.gz
G001405515	s__Bacteroides caccae	s__Bacteroides caccae	5291863	0.010950934706159293	0.013805521460867314	966	GCA_001405515.1_genomic.fna.gz
G001405955	s__Bacteroides caccae	s__Bacteroides caccae	5337582	3.7601458339706255	4.781259139018259	334688	GCA_001405955.1_genomic.fna.gz
G002222615	s__Bacteroides caccae	s__Bacteroides caccae	4570803	0.0065759737427297195	0.007160537240789294	501	GCA_002222615.2_genomic.fna.gz
G000273725	s__Bacteroides caccae	s__Bacteroides caccae	5493117	0.01608417066902299	0.021047986458166783	1473	GCA_000273725.1_genomic.fna.gz
G000834775	s__Yersinia pestis	s__Yersinia pestis	4777968	0.031048790956091046	0.03534117330538753	2474	GCA_000834775.1_genomic.fna.gz
G000270525	s__Mycoplasmopsis bovis	s__Mycoplasma bovis	991702	0.03391298660891307	0.008011987463510718	561	GCA_000270525.1_genomic.fna.gz
G000183385	s__Mycoplasmopsis bovis	s__Mycoplasma bovis	1003404	0.0008936668351959144	0.00021362127495188246	15	GCA_000183385.1_genomic.fna.gz
G000622405	s__Sulfitobacter donghicola	s__Sulfitobacter donghicola	3540159	0.15695958114554728	0.13237428663907597	9266	GCA_000622405.1_genomic.fna.gz
G003013675	s__Rhodococcus hoagii	s__Rhodococcus hoagii	5438826	0.02989586999885696	0.03873552039671879	2711	GCA_003013675.1_genomic.fna.gz
G000196695	s__Rhodococcus hoagii	s__Rhodococcus hoagii	5043170	0.02556442804141023	0.030713741321106776	2150	GCA_000196695.1_genomic.fna.gz
G002094295	s__Rhodococcus hoagii	s__Rhodococcus hoagii	5266403	0.2463451524806795	0.3090659376403205	21635	GCA_002094295.1_genomic.fna.gz
G002094305	s__Rhodococcus hoagii	s__Rhodococcus hoagii	5199710	0.06515580712285862	0.08070961679185376	5650	GCA_002094305.1_genomic.fna.gz
G002095255	s__Rhodococcus hoagii	s__Rhodococcus hoagii	5348944	0.029514614736869043	0.03760955573630312	2633	GCA_002095255.1_genomic.fna.gz
G003294895	s__Aeromonas caviae	s__Aeromonas caviae	4650143	0.009165885134415444	0.01015392035132456	711	GCA_003294895.1_genomic.fna.gz
G003294855	s__Aeromonas caviae	s__Aeromonas caviae	4702913	0.032599375868373345	0.03652323718814246	2557	GCA_003294855.1_genomic.fna.gz
G000783775	s__Aeromonas caviae	s__Aeromonas caviae	4518310	1.4594425208460524	1.5709271778577438	109965	GCA_000783775.2_genomic.fna.gz
G000959705	s__Aeromonas caviae	s__Aeromonas caviae	4551368	0.041014219596679384	0.044470236354431536	3113	GCA_000959705.2_genomic.fna.gz
G900476005	s__Aeromonas caviae	s__Aeromonas caviae	4586140	0.19594674756701302	0.21408113618030422	14986	GCA_900476005.1_genomic.fna.gz
G000969305	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2410835	0.007345996679075397	0.004219016745292158	295	GCA_000969305.1_genomic.fna.gz
G000442905	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2869246	0.017751684644257932	0.012133899472938234	849	GCA_000442905.1_genomic.fna.gz
G000969315	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2514449	0.0035977467528872428	0.002155095176252376	151	GCA_000969315.1_genomic.fna.gz
G003204295	s__Avibacterium paragallinarum	s__Avibacterium paragallinarum	2554710	0.013070902917420595	0.007955000853120398	557	GCA_003204295.1_genomic.fna.gz
G002951115	s__Stenotrophomonas maltophilia	s__Stenotrophomonas maltophilia	4820221	0.028494460653720622	0.0327205371869918	2290	GCA_002951115.1_genomic.fna.gz
G900475405	s__Stenotrophomonas maltophilia	s__Stenotrophomonas maltophilia	4481118	0.02471315437954714	0.026381992707695767	1847	GCA_900475405.1_genomic.fna.gz
G900186865	s__Stenotrophomonas maltophilia	s__Stenotrophomonas maltophilia	5004261	0.0060181644339508235	0.007174589140405258	502	GCA_900186865.1_genomic.fna.gz
G000072485	s__Stenotrophomonas maltophilia	s__Stenotrophomonas maltophilia	4851126	0.03881309133331383	0.04485530588810343	3140	GCA_000072485.1_genomic.fna.gz
G002953295	s__Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	5513032	0.09619435088902718	0.12633774336886539	8844	GCA_002953295.1_genomic.fna.gz
G002240295	s__Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	5089790	0.2124347895751685	0.2575837956924372	18031	GCA_002240295.1_genomic.fna.gz
G003285165	s__Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	5542544	0.05054683383188785	0.0667415272445966	4672	GCA_003285165.1_genomic.fna.gz
G003020825	s__Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	5418654	0.06349315388917925	0.08196177489405677	5737	GCA_003020825.1_genomic.fna.gz
G003146655	s__Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	6084196	2.4035519506300216	3.483772152224957	243864	GCA_003146655.1_genomic.fna.gz
G000379945	s__Porphyromonas macacae	s__Porphyromonas macacae	2214526	0.02443909220235353	0.012893145597234762	903	GCA_000379945.1_genomic.fna.gz
G000614385	s__Porphyromonas macacae	s__Porphyromonas macacae	2324569	1.078265670354514	0.5971194997067502	41798	GCA_000614385.1_genomic.fna.gz
G000769035	s__Porphyromonas macacae	s__Porphyromonas macacae	2363316	0.002802987859063714	0.0015781055436759563	110	GCA_000769035.1_genomic.fna.gz
G000769055	s__Porphyromonas macacae	s__Porphyromonas macacae	2313874	0.013591696318276008	0.007492148937076563	524	GCA_000769055.1_genomic.fna.gz
G003071525	s__Micrococcus luteus	s__Micrococcus luteus	2657569	0.4319541770732033	0.2734735075078274	19143	GCA_003071525.2_genomic.fna.gz
G002863375	s__Micrococcus luteus	s__Micrococcus luteus	2514897	0.012567115225071064	0.007529199997947395	527	GCA_002863375.1_genomic.fna.gz
G002863365	s__Micrococcus luteus	s__Micrococcus luteus	2518829	0.04585329153391662	0.02751453863467556	1926	GCA_002863365.1_genomic.fna.gz
G900475555	s__Micrococcus luteus	s__Micrococcus luteus	2495693	0.5331765202700179	0.31699704253302863	22190	GCA_900475555.1_genomic.fna.gz
G001691605	s__Micrococcus luteus	s__Micrococcus luteus	2501088	0.02671214355166885	0.015915883298284122	1114	GCA_001691605.1_genomic.fna.gz
G000762045	s__Oenococcus oeni	s__Oenococcus oeni	1903774	0.003980894117517418	0.001805464907059611	126	GCA_000762045.1_genomic.fna.gz
G000697625	s__Oenococcus oeni	s__Oenococcus oeni	1786146	0.027705160405005792	0.011788828719813656	825	GCA_000697625.1_genomic.fna.gz
G001867765	s__Oenococcus oeni	s__Oenococcus oeni	1986909	0.0012193024756307937	0.0005771417156568722	40	GCA_001867765.1_genomic.fna.gz
G003264795	s__Oenococcus oeni	s__Oenococcus oeni	1826824	0.021422257430155148	0.009322984797208302	653	GCA_003264795.1_genomic.fna.gz
G001867865	s__Oenococcus oeni	s__Oenococcus oeni	1897210	0.007337147511204786	0.003316161624473581	232	GCA_001867865.1_genomic.fna.gz
G001618955	s__Tardiphaga robiniae	s__Tardiphaga robiniae	6360215	0.0717645538705516	0.10873636726072755	7612	GCA_001618955.1_genomic.fna.gz
G000809185	s__Paenibacillus polymyxa	s__Paenibacillus polymyxa	5714252	0.23191522443037405	0.31570516133667115	22099	GCA_000809185.2_genomic.fna.gz
G002893885	s__Paenibacillus polymyxa	s__Paenibacillus polymyxa	5745779	1.32055073832243	1.807577986484487	126530	GCA_002893885.1_genomic.fna.gz
G000597985	s__Paenibacillus polymyxa	s__Paenibacillus polymyxa	5828436	1.3076525136032837	1.815672093194072	127097	GCA_000597985.1_genomic.fna.gz
G000745475	s__Bosea sp000745475	s__Bosea sp. UNC402CLCol	5613335	0.07006662411119523	0.0936968926349912	6559	GCA_000745475.1_genomic.fna.gz
G000819685	s__Aeromonas allosaccharophila	s__Aeromonas allosaccharophila	4663841	0.4560633332416005	0.5067128601783337	35470	GCA_000819685.1_genomic.fna.gz
G003265495	s__Aeromonas allosaccharophila	s__Aeromonas allosaccharophila	4585928	0.032473041729956166	0.03547670168806347	2483	GCA_003265495.1_genomic.fna.gz
G000820245	s__Aeromonas allosaccharophila	s__Aeromonas allosaccharophila	4708594	0.006622762560283724	0.007428882057235238	520	GCA_000820245.1_genomic.fna.gz
G001446895	s__Aeromonas allosaccharophila	s__Aeromonas allosaccharophila	4584465	0.2636773247286251	0.2879747956295883	20158	GCA_001446895.1_genomic.fna.gz
G000204665	s__Staphylococcus aureus	s__Staphylococcus aureus	2913900	0.06981702893773122	0.048465091892491236	3393	GCA_000204665.1_genomic.fna.gz
G002089095	s__Staphylococcus aureus	s__Staphylococcus aureus	2790204	1.0914933031421838	0.7255211311690841	50786	GCA_002089095.2_genomic.fna.gz
G001611345	s__Staphylococcus aureus	s__Staphylococcus aureus	2678881	0.029407880095198152	0.018767662053110264	1314	GCA_001611345.1_genomic.fna.gz
G000210315	s__Staphylococcus aureus	s__Staphylococcus aureus	2832478	0.1390817184224014	0.0938489951417277	6569	GCA_000210315.1_genomic.fna.gz
G003260095	s__Glaesserella sp003260095	s__Glaesserella sp. HHC-2018	2301024	0.010032462845839049	0.005499481457413781	385	GCA_003260095.1_genomic.fna.gz
G003096495	s__Promicromonospora sukumoe_A	s__Promicromonospora sukumoe	5967089	0.9658451559178393	1.372976345633541	96108	GCA_003096495.1_genomic.fna.gz
G001742205	s__Lactobacillus_H fermentum	s__Lactobacillus fermentum	1949874	1.8470626748715246	0.8579880008508554	60059	GCA_001742205.1_genomic.fna.gz
G900205745	s__Lactobacillus_H fermentum	s__Lactobacillus fermentum	2089202	0.0006368317360606053	0.00031695540674579043	22	GCA_900205745.1_genomic.fna.gz
G002356135	s__Lactobacillus_H fermentum	s__Lactobacillus fermentum	2012416	0.6484180074176814	0.310860729936425	21760	GCA_002356135.1_genomic.fna.gz
G003255875	s__Lactobacillus_H fermentum	s__Lactobacillus fermentum	2042277	0.15902993003925908	0.07737248542386588	5416	GCA_003255875.1_genomic.fna.gz
G000397165	s__Lactobacillus_H fermentum	s__Lactobacillus fermentum	2064620	0.007422738535727272	0.0036508780503276073	256	GCA_000397165.1_genomic.fna.gz
G001473265	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis	2597704	0.009370992573358546	0.005799202719192442	406	GCA_001473265.2_genomic.fna.gz
G000759555	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis	2538314	0.015018998518967135	0.009081955156335102	636	GCA_000759555.1_genomic.fna.gz
G002850315	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis	2727549	0.007875827154553051	0.005117546191682747	358	GCA_002850315.1_genomic.fna.gz
G002215535	s__Staphylococcus epidermidis	s__Staphylococcus epidermidis	2570371	0.11820229832770056	0.07237936478246819	5067	GCA_002215535.1_genomic.fna.gz
G000473045	s__Bradyrhizobium sp000473045	s__Bradyrhizobium sp. WSM3983	8789602	0.0716723226759088	0.1500768559166472	10505	GCA_000473045.1_genomic.fna.gz
G900044025	s__Rubneribacter badeniensis	s__Coriobacteriaceae bacterium CHKCI002	3482123	0.4582835081183267	0.3801643341460848	26612	GCA_900044025.1_genomic.fna.gz
G003184305	s__Lactobacillus_G brevis	s__Lactobacillus brevis	2655087	0.11074913786239778	0.07005064589181374	4904	GCA_003184305.1_genomic.fna.gz
G000014465	s__Lactobacillus_G brevis	s__Lactobacillus brevis	2340228	0.03939891851071888	0.02196521737458715	1538	GCA_000014465.1_genomic.fna.gz
G002117325	s__Lactobacillus_G brevis	s__Lactobacillus brevis	2667873	0.5580929067586171	0.3547028583031677	24829	GCA_002117325.1_genomic.fna.gz
G001011095	s__Lactobacillus_B salivarius	s__Lactobacillus salivarius	1978364	0.39293562378826147	0.18519132468084656	12963	GCA_001011095.1_genomic.fna.gz
G000008925	s__Lactobacillus_B salivarius	s__Lactobacillus salivarius	2133977	0.2683403160902505	0.13641706292626787	9549	GCA_000008925.1_genomic.fna.gz
G001723525	s__Lactobacillus_B salivarius	s__Lactobacillus salivarius	2083592	0.5291677781426042	0.2626631246336264	18386	GCA_001723525.1_genomic.fna.gz
G000143435	s__Lactobacillus_B salivarius	s__Lactobacillus salivarius	2136138	0.03909770797949747	0.01989636034726839	1393	GCA_000143435.1_genomic.fna.gz
G002162055	s__Lactobacillus_B salivarius	s__Lactobacillus salivarius	2177581	0.42318615350115013	0.21953248904149114	15367	GCA_002162055.1_genomic.fna.gz
G000192105	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4621811	0.02179257079317643	0.023994609197366987	1680	GCA_000192105.1_genomic.fna.gz
G000834195	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4615412	0.0054164758719541795	0.0059555286930161044	417	GCA_000834195.1_genomic.fna.gz
G001174965	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4639413	0.027999539896963008	0.030946174029682968	2166	GCA_001174965.1_genomic.fna.gz
G000968115	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4940199	0.3081634948560217	0.3626758752295669	25387	GCA_000968115.1_genomic.fna.gz
G000987925	s__Yersinia enterocolitica	s__Yersinia enterocolitica	4837317	0.06346660454453687	0.07313796063950784	5120	GCA_000987925.1_genomic.fna.gz
G000245555	s__Paenibacillus_B dendritiformis	s__Paenibacillus dendritiformis	6375964	0.03336320090406175	0.050676498609352784	3547	GCA_000245555.2_genomic.fna.gz
