Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G000340115	s__Streptococcus mutans	s__Streptococcus mutans	1953006	0.0010079391242905282	0.0005234402300798896	37	GCA_000340115.1_genomic.fna.gz
G002212855	s__Streptococcus mutans	s__Streptococcus mutans	1990377	0.01516330202146626	0.008025245879675496	562	GCA_002212855.1_genomic.fna.gz
G000339355	s__Streptococcus mutans	s__Streptococcus mutans	1926604	0.01906613700331144	0.009767521695238547	684	GCA_000339355.1_genomic.fna.gz
G000339395	s__Streptococcus mutans	s__Streptococcus mutans	2002107	0.010428879440698558	0.005552059971195112	389	GCA_000339395.1_genomic.fna.gz
G000339335	s__Streptococcus mutans	s__Streptococcus mutans	1965509	0.0034404712933084384	0.0017981345789840418	126	GCA_000339335.1_genomic.fna.gz
G900638155	s__Mannheimia haemolytica	s__Mannheimia haemolytica	2335738	0.18972658647839338	0.11783696189077944	8249	GCA_900638155.1_genomic.fna.gz
G001104865	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2148893	0.007710441662996508	0.0044057846382211585	308	GCA_001104865.1_genomic.fna.gz
G001136505	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2046688	0.0016298306787711533	0.0008869994471509667	62	GCA_001136505.2_genomic.fna.gz
G001199395	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2107812	0.0024535168362149955	0.001375150188394345	96	GCA_001199395.1_genomic.fna.gz
G900022305	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2130939	0.05807082495571732	0.032904722383062836	2303	GCA_900022305.1_genomic.fna.gz
G001340875	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2059647	0.02790194923187191	0.015281168174285242	1070	GCA_001340875.1_genomic.fna.gz
G001124205	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2079747	0.023388421695360807	0.012934231792700035	905	GCA_001124205.1_genomic.fna.gz
G900060925	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2077111	0.0042533129729905965	0.002349179833090797	164	GCA_900060925.1_genomic.fna.gz
G003493065	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2087875	0.010178025333241107	0.005650634791362616	396	GCA_003493065.1_genomic.fna.gz
G001172365	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae	2002316	0.013609055573926042	0.007245858067448781	507	GCA_001172365.2_genomic.fna.gz
