Accession	GTDB species	NCBI species	Genome size (bp)	Community (%)	Reads (%)	No. simulated reads	Genome file
G001698625	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1691767	0.011012579670648927	0.004855906734296634	340	GCA_001698625.1_genomic.fna.gz
G001698695	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1804031	0.010793056430071921	0.005074919620094177	355	GCA_001698695.1_genomic.fna.gz
G001698595	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1856511	0.011608468852063918	0.0056171133973164	393	GCA_001698595.1_genomic.fna.gz
G001698605	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1889077	0.010932974269536709	0.005383053679779308	377	GCA_001698605.1_genomic.fna.gz
G900450955	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1787994	0.0008777064488269977	0.0004090308555632347	29	GCA_900450955.1_genomic.fna.gz
G001698685	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1856360	0.0013047406674262588	0.0006312874057367516	44	GCA_001698685.1_genomic.fna.gz
G001698675	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1862853	0.024758267503167758	0.012020971313167065	841	GCA_001698675.1_genomic.fna.gz
G001698615	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1855374	0.006329343840314761	0.0030607712959319607	214	GCA_001698615.1_genomic.fna.gz
G000155495	s__Helicobacter_D pullorum	s__Helicobacter pullorum	1951667	0.012205612177760217	0.006208776256336958	435	GCA_000155495.1_genomic.fna.gz
G900453275	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2661365	0.000561200518099808	0.0003892810191770781	27	GCA_900453275.1_genomic.fna.gz
G900450465	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2510813	0.0381556906915183	0.0249697625430479	1748	GCA_900450465.1_genomic.fna.gz
G000160615	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2435166	0.00179156860689589	0.0011371106825407169	80	GCA_000160615.1_genomic.fna.gz
G900453215	s__Mobiluncus mulieris	s__Mobiluncus mulieris	2529093	0.028066784277288436	0.018501126831823	1295	GCA_900453215.1_genomic.fna.gz
G003387915	s__Staphylococcus felis	s__Staphylococcus felis	2454027	0.01235695258409054	0.007903718083704719	553	GCA_003387915.1_genomic.fna.gz
G003391645	s__Staphylococcus felis	s__Staphylococcus felis	2409877	0.001976016781541045	0.0012411555954742334	87	GCA_003391645.1_genomic.fna.gz
G003387895	s__Staphylococcus felis	s__Staphylococcus felis	2435140	0.055108814445388093	0.03497725529537969	2448	GCA_003387895.1_genomic.fna.gz
G003388035	s__Staphylococcus felis	s__Staphylococcus felis	2394985	0.04928223986924681	0.030763373630696398	2153	GCA_003388035.1_genomic.fna.gz
G003388135	s__Staphylococcus felis	s__Staphylococcus felis	2381609	0.004349319887730493	0.0026998058730562085	189	GCA_003388135.1_genomic.fna.gz
G003391635	s__Staphylococcus felis	s__Staphylococcus felis	2381066	0.0005614148196818544	0.00034841434724524624	24	GCA_003391635.1_genomic.fna.gz
G003387955	s__Staphylococcus felis	s__Staphylococcus felis	2404746	0.04116755014116685	0.02580268843504121	1806	GCA_003387955.1_genomic.fna.gz
G006381855	s__Leuconostoc citreum	s__Leuconostoc citreum	1835522	0.00047678522696547785	0.00022809885690922756	16	GCA_006381855.1_genomic.fna.gz
G002115685	s__Leuconostoc citreum	s__Leuconostoc citreum	1829881	0.0035923881382018876	0.0017133529068328716	120	GCA_002115685.1_genomic.fna.gz
G000955645	s__Prevotella intermedia	s__Prevotella intermedia	2790340	0.001264938475766414	0.000919956414219964	64	GCA_000955645.1_genomic.fna.gz
G002753855	s__Prevotella intermedia	s__Prevotella intermedia	2905571	0.005157693060507351	0.0039059592647867143	273	GCA_002753855.1_genomic.fna.gz
G002504365	s__Mesoplasma florum	s__Mesoplasma florum	807195	0.01035485367602726	0.002178528037142823	152	GCA_002504365.1_genomic.fna.gz
G002999355	s__Mesoplasma florum	s__Mesoplasma florum	792347	0.0027946933541845415	0.000577152132036448	40	GCA_002999355.1_genomic.fna.gz
G002999435	s__Mesoplasma florum	s__Mesoplasma florum	738512	0.0020887398042930914	0.00040205236740221685	28	GCA_002999435.1_genomic.fna.gz
